"iso","value"
"AFG",0.3
"ALB",0.8
"DZA",0.4
"AGO",0.6
"ATG",1.5
"ARG",2
"ARM",0.8
"AUS",2.3
"AUT",2
"AZE",0.6
"BHS",1.8
"BGD",0.1
"BRB",1.4
"BLR",1.5
"BEL",1.5
"BLZ",0.9
"BEN",0.4
"BOL",1.3
"BIH",0.7
"BWA",0.6
"BRA",1.8
"BRN",1.7
"BGR",1.1
"BFA",0.3
"CPV",0.9
"KHM",0.3
"CMR",0.3
"CAN",1.8
"CAF",0.7
"TCD",0.2
"CHL",1.5
"CHN",1.1
"MAC",2
"CHN",1.1
"TWN",1.5
"COL",0.9
"COG",0.7
"CRI",0.9
"CIV",0.3
"HRV",1.2
"CUB",1
"CYP",1.5
"CZE",1.5
"PRK",0.3
"DNK",1.4
"DJI",0.3
"DMA",1.1
"DOM",1
"ECU",1
"EGY",0.5
"SLV",0.5
"EST",1.2
"ETH",0.2
"FJI",0.8
"FIN",1.4
"FRA",1.7
"GAB",1.3
"GMB",0.2
"GEO",0.5
"DEU",1.7
"GHA",0.3
"GRC",1.5
"GRD",1.1
"GTM",0.5
"GIN",0.2
"GNB",0.3
"GUY",0.8
"HTI",0.4
"HND",0.7
"HUN",1.4
"ISL",1.7
"IND",0.1
"IDN",0.2
"IRN",0.7
"IRQ",0.4
"IRL",1.5
"ISR",2
"ITA",1.7
"JAM",1.2
"JPN",0.9
"JOR",0.9
"KAZ",1.3
"KEN",0.3
"KIR",0.8
"KWT",1.7
"KGZ",0.7
"LAO",0.4
"LVA",1.3
"LBN",0.8
"LSO",0.4
"LBR",0.3
"LTU",1.4
"LUX",1.9
"MDG",0.3
"MWI",0.2
"MYS",1
"MDV",0.4
"MLI",0.5
"MLT",1.6
"MRT",0.6
"MUS",1
"MEX",1.2
"MNG",1.4
"MNE",1.5
"MAR",0.6
"MOZ",0.2
"MMR",0.8
"NAM",0.6
"NPL",0.2
"NLD",1.4
"NCL",1.5
"NZL",2.4
"NIC",0.5
"NER",0.3
"NGA",0.2
"NOR",1.3
"OMN",1.1
"PAK",0.3
"PAN",1.2
"PRY",1
"PER",0.4
"PHL",0.7
"POL",1.5
"PRT",1.7
"MDA",0.7
"ROU",1
"RUS",1.3
"RWA",0.1
"LCA",1.7
"VCT",1.8
"WSM",1.9
"STP",0.4
"SAU",1.2
"SEN",0.3
"SRB",0.9
"SLE",0.2
"SVK",1.1
"SVN",1.6
"SLB",0.3
"ZAF",1.1
"ESP",1.8
"LKA",0.1
"SUR",1.1
"SWZ",0.4
"SWE",1.6
"CHE",1.4
"TJK",0.3
"THA",0.5
"MKD",0.7
"TLS",0.7
"TGO",0.2
"TTO",1.3
"TUN",0.5
"TUR",0.6
"TKM",1.1
"UGA",0.2
"UKR",0.9
"ARE",1.1
"GBR",1.6
"TZA",0.2
"USA",2.3
"URY",1.3
"UZB",0.7
"VUT",0.7
"VEN",1.6
"VNM",1.1
"YEM",0.4
"ZMB",0.3
"ZWE",0.4
