"iso","value"
"KIR",47.7
"WSM",42.2
"CHL",37
"TON",34.5
"GRC",33.7
"MLT",33.6
"QAT",33.5
"SVN",33.1
"LBN",33.1
"SYR",32.9
"ALB",32.8
"LBY",32.5
"EGY",31.5
"URY",31.2
"ISR",31
"ARE",30.8
"HUN",30.2
"ITA",29.9
"FSM",29.7
"NZL",29.6
"HRV",29.5
"LUX",29.3
"MHL",29.2
"ARG",29.1
"USA",28.8
"PRT",28.7
"MEX",28.4
"SLB",28.3
"PSE",27.9
"ESP",27.6
"GNQ",27.2
"BGR",26.7
"IRL",26.6
"ISL",26.4
"GEO",26.3
"MNE",26.3
"GBR",26.1
"FIN",26
"TWN",25.9
"CYP",25.7
"CAN",25.5
"BRB",25.3
"AZE",24.9
"KWT",24.6
"OMN",24.5
"AUS",24.4
"LTU",24.3
"JOR",24.1
"EST",24
"MKD",23.7
"SAU",23.5
"ARM",23.3
"CHN",23
"MUS",22.9
"MAR",22.5
"MYS",22.5
"BHR",22.4
"CZE",22.3
"BRA",22.1
"POL",21.9
"RUS",21.7
"DZA",21.7
"IRN",21.6
"TKM",21.5
"PRY",21.3
"KOR",21.2
"ZMB",20.9
"SGP",20.9
"CRI",20.8
"CHE",20.7
"SVK",20.6
"BOL",20.5
"KAZ",20.5
"BEL",20.5
"DEU",20.5
"TUR",20.4
"SWE",20.4
"UZB",20.2
"NOR",20.1
"LVA",19.9
"FRA",19.9
"KGZ",19.7
"DNK",19.7
"IRQ",19.5
"TTO",19.2
"SRB",19.2
"BHS",19.1
"COM",19
"AUT",18.9
"ZAF",18.8
"AFG",18.5
"BLZ",18.4
"VEN",18.4
"NLD",18.3
"DOM",17.8
"TUN",17.7
"BIH",17.2
"PER",16.6
"CMR",16.4
"PNG",16
"AND",15.9
"LCA",15.8
"MDA",15.8
"GNB",15.8
"CUB",15.7
"MNG",15.5
"AGO",15.5
"COL",15.4
"BLR",15.4
"VCT",15.3
"JPN",15.3
"DMA",15.2
"NIC",14.8
"SSD",14.7
"VUT",14.5
"SLE",13.8
"ECU",13.7
"GTM",13.6
"JAM",13.4
"LBR",13.4
"GAB",13.3
"THA",13.3
"TJK",13
"FJI",12.8
"NGA",12.8
"MWI",12.7
"SYC",12.7
"MOZ",12.3
"STP",12.3
"SUR",11.8
"NER",11.8
"GRD",11.6
"SWZ",11.6
"GUY",11.5
"CPV",11.5
"HND",11.4
"RWA",11.3
"ATG",11.2
"SLV",11.2
"SDN",11.2
"ROU",11
"PAN",10.6
"UKR",10.6
"BTN",10.5
"MLI",10.4
"CAF",10.2
"GMB",10.1
"KEN",9.4
"DJI",9.2
"LSO",9.1
"BFA",9.1
"COG",8.9
"TZA",8.9
"CIV",8.8
"COD",8.5
"YEM",8.4
"TCD",8.3
"GIN",8.2
"MDV",7.9
"HTI",7.7
"SOM",7.6
"ZWE",7.5
"BDI",7
"TLS",7
"BEN",6.9
"BRN",6.7
"BWA",6.6
"MDG",6.3
"PAK",6.2
"IDN",6
"NAM",6
"UGA",5.7
"MRT",5.7
"TGO",5.7
"PHL",5.5
"IND",5.3
"GHA",5.3
"VNM",5.2
"LKA",5
"BGD",4.7
"ETH",4.6
"NPL",4.6
"MMR",4.6
"ERI",4.1
"LAO",4.1
"KHM",3.8
"SEN",3.8
"PRK",1
