"iso","value"
"KIR",66.1
"WSM",50
"CHL",31.6
"TON",52.6
"GRC",29.1
"MLT",25.3
"QAT",22.1
"SVN",24
"LBN",29.8
"SYR",33.3
"ALB",26.7
"LBY",41.7
"EGY",39.5
"URY",37.7
"ISR",26.6
"ARE",31.6
"HUN",24.9
"ITA",24.3
"FSM",61.4
"NZL",28.7
"HRV",19.7
"LUX",17.7
"MHL",36.1
"ARG",23.6
"USA",29.7
"PRT",27.1
"MEX",29.3
"SLB",49.2
"PSE",30.6
"ESP",23.8
"GNQ",33.2
"BGR",25.7
"IRL",26.5
"ISL",23
"GEO",29.9
"MNE",27.3
"GBR",29.2
"FIN",21.1
"TWN",17.4
"CYP",22.5
"CAN",22
"BRB",32.4
"AZE",23.1
"KWT",45.5
"OMN",42.3
"AUS",23
"LTU",21.1
"JOR",25.4
"EST",21.4
"MKD",22.3
"SAU",37.4
"ARM",24.1
"CHN",14
"MUS",21.9
"MAR",25.9
"MYS",19.1
"BHR",26.7
"CZE",18
"BRA",24.3
"POL",17.8
"RUS",18.6
"DZA",30
"IRN",26.2
"TKM",24.2
"PRY",24.3
"KOR",13.2
"ZMB",20.5
"SGP",13.3
"CRI",37.7
"CHE",16.2
"SVK",13.5
"BOL",28.2
"KAZ",21.9
"BEL",18.8
"DEU",19.4
"TUR",19.8
"SWE",19.3
"UZB",20.6
"NOR",16
"LVA",15.2
"FRA",16
"KGZ",19.1
"DNK",19.4
"IRQ",25
"TTO",21.3
"SRB",23.1
"BHS",33.3
"COM",23.9
"AUT",16.3
"ZAF",26.3
"AFG",19.5
"BLZ",27.1
"VEN",27.7
"NLD",16.1
"DOM",25.2
"TUN",23.4
"BIH",22.7
"PER",25.6
"CMR",19.8
"PNG",18.3
"AND",18.4
"LCA",17
"MDA",15.2
"GNB",20.4
"CUB",23.9
"MNG",18.9
"AGO",20.9
"COL",18.3
"BLR",17.4
"VCT",26
"JPN",12.4
"DMA",29.2
"NIC",23.4
"SSD",21.6
"VUT",23.2
"SLE",23.3
"ECU",29.6
"GTM",19.4
"JAM",31
"LBR",13.7
"GAB",20.1
"THA",15.4
"TJK",13.3
"FJI",24.9
"NGA",12.3
"MWI",24.3
"SYC",17.6
"MOZ",14.4
"STP",18.9
"SUR",22.6
"NER",7.9
"GRD",21.2
"SWZ",26.2
"GUY",22.2
"CPV",18.3
"HND",21.5
"RWA",18.4
"ATG",20.5
"SLV",25.4
"SDN",14.4
"ROU",20.3
"PAN",9.9
"UKR",20.1
"BTN",14.4
"MLI",12.8
"CAF",11.2
"GMB",14.8
"KEN",13.2
"DJI",23.5
"LSO",21.9
"BFA",8.7
"COG",11.2
"TZA",12
"CIV",13.3
"COD",12.6
"YEM",26.9
"TCD",8.3
"GIN",11.7
"MDV",18
"HTI",9.5
"SOM",10
"ZWE",16.1
"BDI",9.3
"TLS",5.7
"BEN",13.1
"BRN",5.6
"BWA",22.4
"MDG",5.6
"PAK",10.4
"IDN",10
"NAM",8.8
"UGA",14.6
"MRT",14.2
"TGO",8.8
"PHL",5.4
"IND",5.2
"GHA",11.5
"VNM",6.1
"LKA",8.9
"BGD",4.3
"ETH",6.3
"NPL",4
"MMR",7.4
"ERI",6.2
"LAO",5.8
"KHM",3.8
"SEN",8.3
"PRK",1
