"iso","value"
"AFG",97.3
"ALB",14.9
"DZA",25.2
"AND",3
"AGO",167.4
"ATG",9.3
"ARG",13.3
"ARM",15.6
"AUS",4
"AUT",3.9
"AZE",34.2
"BHS",12.9
"BHR",6.1
"BGD",41.1
"BRB",14.4
"BLR",4.9
"BEL",4.4
"BLZ",16.7
"BEN",85.3
"BTN",36.2
"BOL",39.1
"BIH",6.6
"BWA",46.6
"BRA",13.7
"BRN",9.9
"BGR",11.6
"BFA",97.6
"BDI",82.9
"KHM",37.9
"CMR",94.5
"CAN",5.2
"CPV",26
"CAF",139.2
"TCD",147.5
"CHL",8.2
"CHN",12.7
"COL",16.9
"COM",77.9
"COG",49.1
"COK",8.8
"CRI",9.6
"CIV",100
"HRV",4.5
"CUB",6.2
"CYP",3.6
"CZE",3.6
"COD",118.5
"DNK",3.5
"DJI",69.6
"DMA",11.4
"DOM",28.1
"ECU",22.5
"EGY",21.8
"SLV",15.7
"GNQ",95.8
"ERI",49.9
"EST",3.4
"ETH",64.4
"FJI",23.6
"FIN",2.6
"FRA",4.2
"GAB",56.1
"GMB",73.8
"GEO",13.1
"DEU",3.9
"GHA",78.4
"GRC",4.4
"GRD",11.8
"GTM",31
"GIN",100.7
"GNB",123.9
"GUY",36.6
"HTI",72.8
"HND",22.2
"HUN",6.1
"ISL",2.1
"IND",52.7
"IDN",29.3
"IRN",16.8
"IRQ",34
"IRL",3.8
"ISR",4
"ITA",3.6
"JAM",16.6
"JPN",2.9
"JOR",18.7
"KAZ",16.3
"KEN",70.7
"KIR",58.2
"PRK",27.4
"KOR",3.7
"KWT",9.5
"KGZ",24.2
"LAO",71.4
"LVA",8.4
"LBN",9.1
"LSO",98
"LBR",71.1
"LBY",14.5
"LIE",0
"LTU",4.9
"LUX",2
"MDG",56
"MWI",67.9
"MYS",8.5
"MDV",9.9
"MLI",122.7
"MLT",6.1
"MHL",37.5
"MRT",90.1
"MUS",14.3
"MEX",14.5
"FSM",36.4
"MCO",3.7
"MNG",31.8
"MNE",5.3
"MAR",30.4
"MOZ",87.2
"MMR",50.5
"NAM",49.8
"NRU",36.6
"NPL",39.7
"NLD",4
"NZL",6.3
"NIC",23.5
"NER",104.2
"NGA",117.4
"NIU",24.5
"NOR",2.8
"OMN",11.4
"PAK",85.5
"PLW",17.5
"PAN",17.9
"PNG",61.4
"PRY",21.9
"PER",16.7
"PHL",29.9
"POL",5.2
"PRT",3.8
"QAT",8.2
"MDA",15.4
"ROU",12
"RUS",10.1
"RWA",52
"KNA",10.2
"LCA",14.5
"VCT",19
"WSM",18.1
"SMR",3.1
"STP",51
"SAU",15.5
"SEN",55.3
"SRB",6.6
"SYC",14.2
"SLE",160.6
"SGP",2.8
"SVK",7.2
"SVN",2.9
"SLB",30.1
"SOM",145.6
"ZAF",43.9
"SSD",99.2
"ESP",4.2
"LKA",9.6
"PSE",21.8
"SDN",76.6
"SUR",22.8
"SWZ",80
"SWE",3
"CHE",4.2
"SYR",14.6
"TJK",47.7
"THA",13.1
"MKD",6.6
"TLS",54.6
"TGO",84.7
"TON",12.1
"TTO",21.3
"TUN",15.2
"TUR",19.2
"TKM",55.2
"TUV",29.2
"UGA",66.1
"UKR",10
"ARE",8.2
"GBR",4.6
"TZA",51.8
"USA",6.9
"URY",11.1
"UZB",42.5
"VUT",16.9
"VEN",14.9
"VNM",23.8
"YEM",51.3
"ZMB",87.4
"ZWE",88.5
