iso,value
MHL,15
MSR,38
NIU,40
ASM,61
KIR,62
SLB,102
SLE,537
GIN,559
NCL,638
SUR,659
MDA,708
AIA,796
TON,803
VCT,820
CAF,986
BGD,1090
TJK,1121
BMU,1172
PLW,1233
WSM,1347
GRD,1497
SWE,1519818
CYM,1601
DMA,1648
BLR,1704
MLI,1721
COG,1721
YEM,1908
BRN,1958
BHS,10059
ESP,10422055
KOR,100624
LKA,105432
VEN,11121
DZA,11192
UGA,11845
BRB,12026
FRA,12683581
AZE,13838
UKR,131244
CUB,139138
JPN,140254
VNM,142345
SMR,142440
MLT,143053
KGZ,15228
MYS,158453
HKG,159520
NIC,16155
URY,16375
ISR,162275
KWT,17589
NPL,18028
IDN,184463
AUS,186640
CUW,19118
PAN,19563
USA,2056492
HUN,2125000
COK,2224
BEN,2410
GRC,2459228
ATG,2665
NER,2693
GLP,2744
BTN,2971
MEX,207031
JAM,21346
SWZ,21669
DOM,230038
IND,239106
PAK,24381
GTM,24521
ARM,25431
MAR,255124
ZWE,26098
BRA,265498
ZAF,274571
MAC,28170
SGP,289526
LAO,29800
LVA,298869
HND,3159
GBR,3220000
PNG,3300
VGB,3398
LCA,3622
LSO,3746
AGO,3817
BOL,30182
POL,30260000
IRN,32067
MMR,32265
CAN,326808
ECU,33303
GEO,33446
ETH,34779
FIN,342000
SYC,35917
BWA,37239
MNG,392844
PYF,4028
COD,4048
SLV,4123
ABW,4362
MTQ,4801
GMB,4842
TUN,425648
COL,46166
JOR,46905
ROU,469867
TZA,47262
MDG,5003
TUR,5025663
BLZ,5065
TTO,5154
NGA,50742
TWN,52507
IRL,535000
MUS,62231
CRI,63916
RUS,635153
CHN,649298
SAU,67830
LBN,67988
BHR,68392
PER,68703
ZMB,7638
FJI,7841
CHL,70648
THA,715240
PHL,72801
NZL,78912
NAM,79551
KAZ,79572
RWA,8228
KHM,84143
ISL,85915
CYP,86397
EGY,877228
ALB,89500
BGR,898791
ITA,9451363
UZB,9618
PRY,9862
MDV,98328
