iso,value
ALB,0
AND,0
ARM,0
AUS,0
AUT,0
AZE,0
BEL,0
BGR,0
BHS,0
BIH,0
BLR,0
BLZ,0
BMU,0
CAN,0
CHE,0
CHI,0
CHN,0
CUB,0
CYP,0
CZE,0
DEU,0
DNK,0
DZA,0
EGY,0
ESP,0
EST,0
FIN,0
FRA,0
FRO,0
GBR,0
GEO,0
GRC,0
GRL,0
HKG,0
HRV,0
HUN,0
IMN,0
IRL,0
IRN,0
IRQ,0
ISL,0
ISR,0
ITA,0
JPN,0
KAZ,0
KGZ,0
KOR,0
KSV,0
LBN,0
LBY,0
LIE,0
LTU,0
LUX,0
LVA,0
MAR,0
MCO,0
MDA,0
MDV,0
MKD,0
MLT,0
MNE,0
MUS,0
MYS,0
NLD,0
NOR,0
NZL,0
POL,0
PRT,0
ROU,0
RUS,0
SGP,0
SMR,0
SRB,0
SUR,0
SVK,0
SVN,0
SWE,0
SYC,0
THA,0
TJK,0
TKM,0
TUN,0
TUR,0
UKR,0
USA,0
UZB,0
VEN,0
WSM,0
TTO,0
ARG,0
CHL,0
BRA,1
CRI,1
JOR,1
URY,1
MEX,1
VNM,1
PRY,2
DOM,2
ARE,2
BHR,2
KWT,2
OMN,2
PSE,2
QAT,2
SAU,2
ECU,3
COL,3
SYR,4
IDN,4
TON,4
SLV,6
PAK,6
DMA,7
JAM,7
PER,9
ABW,9
ATG,9
BRB,9
CYM,9
GRD,9
KNA,9
LCA,9
MAF,9
PAN,9
PRI,9
TCA,9
VIR,9
CUW,9
MAC,9
BOL,10
MNG,10
GAB,11
LKA,11
PHL,13
ARB,14
ZAF,15
HND,18
GUY,21
IND,21
GTM,22
SAS,22
NIC,22
NPL,24
BRN,24
VCT,24
BTN,24
CPV,29
LAO,30
COM,31
GNQ,34
GHA,36
GNB,39
STP,40
BGD,40
ASM,41
FJI,41
FSM,41
GUM,41
KIR,41
MHL,41
NCL,41
PLW,41
PYF,41
SEN,44
CIV,44
NGA,44
CMR,46
DJI,47
BWA,47
MMR,48
YEM,52
NAM,53
TUV,55
AFG,57
SWZ,58
COG,58
TLS,58
ZWE,60
BEN,62
HTI,62
AGO,63
ERI,64
GMB,65
SOM,67
SDN,67
TGO,69
KHM,69
PRK,70
VUT,73
ETH,73
GIN,74
MLI,74
KEN,77
SLB,77
ZMB,78
MRT,78
LSO,79
MOZ,80
UGA,82
PNG,82
RWA,82
COD,84
MDG,85
TZA,85
NER,86
SLE,86
BFA,87
CAF,89
LBR,90
MWI,90
BDI,94
TCD,94
SSD,95
