iso,value
SJM,2.5
GRL,2.5
KAZ,2.1
CAN,2.0
UZB,2.0
TKM,2.0
KGZ,1.9
AZE,1.9
IRN,1.8
FIN,1.8
RUS,1.8
TJK,1.7
GEO,1.7
SPM,1.7
ARM,1.7
ARE,1.7
QAT,1.7
NOR,1.6
BHR,1.6
UKR,1.6
IRQ,1.6
KWT,1.6
MNG,1.6
OMN,1.5
NER,1.5
AFG,1.5
SWE,1.5
SAU,1.5
MDA,1.5
BLR,1.5
EST,1.5
ALA,1.5
NGA,1.4
LBY,1.4
JOR,1.4
SYR,1.4
TUN,1.4
CYP,1.4
ISR,1.4
BEN,1.4
YEM,1.4
DZA,1.4
EGY,1.4
LBN,1.4
LVA,1.4
TGO,1.4
GHA,1.3
ISL,1.3
BFA,1.3
ROU,1.3
MLT,1.3
CIV,1.3
LTU,1.3
TCD,1.3
TUR,1.3
HUN,1.3
GUF,1.3
STP,1.3
CMR,1.3
SGS,1.3
SVK,1.2
USA,1.2
SMR,1.2
CHN,1.2
POL,1.2
SVN,1.2
GNQ,1.2
ERI,1.2
SUR,1.2
NZL,1.2
CZE,1.2
HRV,1.2
DJI,1.2
JPN,1.2
SLB,1.2
LBR,1.2
MLI,1.2
AUT,1.2
BRB,1.2
LCA,1.2
DMA,1.2
MTQ,1.2
VCT,1.2
GRD,1.2
BIH,1.2
BGR,1.2
SRB,1.2
GLP,1.2
ITA,1.2
MSR,1.2
DNK,1.2
GUY,1.2
ATG,1.2
TTO,1.2
KNA,1.2
NLD,1.2
GAB,1.2
ESH,1.1
SOM,1.1
DEU,1.1
TWN,1.1
AIA,1.1
MUS,1.1
VGB,1.1
MAR,1.1
FLK,1.1
GRC,1.1
SDN,1.1
SYC,1.1
MRT,1.1
NCL,1.1
MKD,1.1
SLE,1.1
CHE,1.1
MCO,1.1
REU,1.1
LIE,1.1
KIR,1.1
PAK,1.1
BEL,1.1
PRI,1.1
LUX,1.1
ETH,1.1
SGP,1.1
CXR,1.1
GIN,1.1
MNE,1.1
FJI,1.1
ALB,1.1
CAF,1.1
ZAF,1.1
BRA,1.1
SWZ,1.1
TON,1.1
PYF,1.1
COG,1.1
KOR,1.1
BES,1.0
VEN,1.0
CRI,1.0
MYS,1.0
NIC,1.0
AND,1.0
LSO,1.0
PHL,1.0
NAM,1.0
BLZ,1.0
PAN,1.0
NIU,1.0
FRA,1.0
IDN,1.0
MDG,1.0
HND,1.0
FRO,1.0
MEX,1.0
GTM,1.0
ABW,1.0
SLV,1.0
PRK,1.0
CYM,1.0
WSM,1.0
MYT,1.0
COL,1.0
DOM,1.0
BWA,1.0
ASM,1.0
ECU,1.0
COM,0.9
PLW,0.9
AGO,0.9
MWI,0.9
CPV,0.9
COD,0.9
CUB,0.9
PNG,0.9
ESP,0.9
JAM,0.9
TZA,0.9
KHM,0.9
MOZ,0.9
ZMB,0.9
KEN,0.9
GBR,0.9
HTI,0.9
BDI,0.9
SEN,0.9
GGY,0.9
JEY,0.9
BTN,0.9
TLS,0.9
BHS,0.9
RWA,0.9
AUS,0.9
THA,0.9
ZWE,0.9
IMN,0.9
GMB,0.8
VNM,0.8
HKG,0.8
LAO,0.8
UGA,0.8
IRL,0.8
MAC,0.8
URY,0.8
PRT,0.8
NPL,0.8
ARG,0.8
CHL,0.8
PER,0.8
LKA,0.7
PRY,0.7
BGD,0.7
BOL,0.6
IND,0.6

