iso,value
MNG,1.31
TTO,1.10
TKM,0.91
PLW,0.80
UKR,0.69
ZAF,0.69
UZB,0.66
KAZ,0.63
CHN,0.62
BIH,0.57
EST,0.56
BHR,0.55
KGZ,0.53
ZWE,0.53
RUS,0.52
MHL,0.51
IRN,0.48
SRB,0.46
LSO,0.43
FSM,0.41
LBY,0.40
TON,0.39
OMN,0.39
BLR,0.38
GUY,0.37
KOR,0.36
AUS,0.36
AFG,0.36
KWT,0.35
SAU,0.35
BHS,0.35
VEN,0.33
MYS,0.33
BGR,0.33
KIR,0.33
JAM,0.33
JOR,0.33
POL,0.32
BRB,0.32
VNM,0.32
IRQ,0.32
PNG,0.31
MKD,0.31
CZE,0.31
USA,0.31
CAN,0.31
IND,0.30
BOL,0.30
MDA,0.30
LBN,0.29
QAT,0.29
ARE,0.29
THA,0.29
BEN,0.29
SYC,0.28
ATG,0.28
JPN,0.27
ISR,0.26
LBR,0.26
YEM,0.26
SEN,0.26
BRN,0.26
DZA,0.25
ECU,0.25
MNE,0.25
GRD,0.25
MEX,0.24
HND,0.24
SUR,0.24
SVN,0.24
TGO,0.24
ARM,0.24
FJI,0.24
KNA,0.24
GRC,0.24
MAR,0.23
EGY,0.23
GEO,0.23
TUN,0.23
DJI,0.23
SVK,0.23
CYP,0.23
MDV,0.22
TUR,0.22
CHL,0.22
AZE,0.22
WSM,0.22
NLD,0.21
LCA,0.21
DEU,0.21
FIN,0.21
NZL,0.21
STP,0.20
AGO,0.19
LUX,0.19
BEL,0.19
HRV,0.19
GNQ,0.19
IDN,0.19
BLZ,0.18
PAK,0.18
GBR,0.18
MRT,0.18
VCT,0.18
ROU,0.18
MLT,0.18
TLS,0.18
DMA,0.18
NOR,0.18
HUN,0.17
DOM,0.17
TJK,0.17
CUB,0.17
SLB,0.17
MUS,0.17
NIC,0.16
LTU,0.16
ITA,0.16
BWA,0.16
IRL,0.16
GMB,0.16
ALB,0.16
PER,0.16
PRT,0.16
BTN,0.16
LVA,0.16
GIN,0.16
BRA,0.16
AUT,0.16
ESP,0.15
GAB,0.15
PHL,0.15
COM,0.15
BGD,0.15
COL,0.15
DNK,0.15
ISL,0.14
MOZ,0.14
GHA,0.14
VUT,0.14
CPV,0.14
PAN,0.14
CIV,0.14
HTI,0.14
NAM,0.13
FRA,0.13
SLV,0.13
PSE,0.13
KHM,0.12
GTM,0.12
NER,0.12
HKG,0.12
SGP,0.12
BFA,0.11
CRI,0.11
URY,0.11
CAF,0.11
CMR,0.11
SWZ,0.11
KEN,0.11
BMU,0.11
GNB,0.11
NPL,0.10
SWE,0.10
SDN,0.10
SLE,0.10
NGA,0.10
COG,0.09
MDG,0.09
TZA,0.09
PRY,0.09
CHE,0.08
ETH,0.08
UGA,0.08
LKA,0.07
MWI,0.07
ZMB,0.07
LAO,0.07
SSD,0.06
COD,0.05
RWA,0.05
BDI,0.04
MLI,0.03
MAC,0.03
TCD,0.02
