iso,value
RUS,16376870
CHN,9388211
USA,9147420
CAN,9093510
BRA,8358140
AUS,7682300
SAS,4771577
IND,2973190
ARG,2736690
KAZ,2699700
EMU,2677841
DZA,2381740
SDN,2376000
COD,2267050
SAU,2149690
MEX,1943950
IDN,1811570
LBY,1759540
IRN,1628550
MNG,1553560
PER,1280000
NER,1266700
TCD,1259200
AGO,1246700
MLI,1220190
ZAF,1213090
COL,1109500
BOL,1083300
MRT,1030700
ETH,1000000
EGY,995450
NGA,910770
TZA,885800
VEN,882050
NAM,823290
MOZ,786380
PAK,770880
TUR,769630
CHL,743532
ZMB,743390
MMR,653080
AFG,652860
SOM,627340
CAF,622980
MDG,581800
UKR,579320
KEN,569140
BWA,566730
FRA,547557
YEM,527970
THA,510890
ESP,500210
CMR,472710
TKM,469930
PNG,452860
MAR,446300
IRQ,434320
UZB,425400
GRL,410450
SWE,407340
PRY,397300
ZWE,386850
NOR,365245
JPN,364560
DEU,348540
COG,341500
MYS,328550
CIV,318000
VNM,310070
OMN,309500
POL,306210
FIN,303890
PHL,298170
ITA,294140
BFA,273600
NZL,263310
GAB,257670
ECU,248360
GIN,245720
GBR,241930
LAO,230800
ROU,230030
GHA,227540
BLR,202910
UGA,200520
GUY,196850
SEN,192530
KGZ,191800
SYR,183630
KHM,176520
URY,175020
SUR,156000
TUN,155360
NPL,143350
TJK,139960
BGD,130170
GRC,128900
NIC,120340
BEN,112760
HND,111890
BGR,108560
GTM,107160
CUB,106449
ERI,101000
ISL,100250
KOR,97466
LBR,96320
MWI,94280
PRT,91600
HUN,90530
JOR,88780
SRB,87460
ARE,83600
AZE,82659
AUT,82531
CZE,77230
PAN,74340
SLE,72180
GEO,69490
IRL,68890
LKA,62710
LTU,62675
LVA,62190
HRV,55960
TGO,54390
BIH,51200
CRI,51060
DOM,48320
SVK,48088
DNK,42430
EST,42390
CHE,39516
BTN,38117
NLD,33670
MDA,32880
LSO,30360
BEL,30280
ARM,28470
GNB,28120
GNQ,28050
SLB,27990
HTI,27560
ALB,27400
BDI,25680
MKD,25220
RWA,24670
DJI,23180
BLZ,22810
ISR,21640
SLV,20720
SVN,20140
NCL,18280
FJI,18270
KWT,17820
SWZ,17200
TLS,14870
MNE,13450
VUT,12190
QAT,11610
KSV,10887
JAM,10830
LBN,10230
GMB,10120
BHS,10010
CYP,9240
PRI,8870
PSE,6020
BRN,5270
TTO,5130
CPV,4030
PYF,3660
WSM,2830
LUX,2590
MUS,2030
COM,1861
FRO,1396
HKG,1050
STP,960
TCA,950
KIR,810
BHR,770
DMA,750
TON,720
SGP,707
FSM,700
LCA,610
IMN,570
GUM,540
AND,470
PLW,460
MNP,460
SYC,455
ATG,440
BRB,430
VCT,390
VIR,350
GRD,340
MLT,320
MDV,300
KNA,260
CYM,240
ASM,200
CHI,190
MHL,180
ABW,180
LIE,160
VGB,150
SMR,60
MAF,54.4
BMU,50
SXM,34
MAC,30.3
TUV,30
NRU,20
GIB,10
MCO,2
