iso,value
UKR,12.5
KAZ,12.1
CHL,11.7
GEO,11.6
PSE,11.6
BLR,11.6
MNE,11.2
BIH,11.1
BRB,11.1
LCA,11.0
KGZ,10.8
JOR,10.7
SRB,10.7
ARM,10.3
TTO,10.2
JAM,10.1
ECU,9.9
ARG,9.8
ZAF,9.5
MKD,9.4
TJK,9.4
BRA,9.3
AZE,9.2
EGY,9.2
MDV,9.1
UZB,8.7
ALB,8.5
MDA,8.4
THA,8.4
MEX,8.3
PER,8.2
PAN,8.0
DOM,8.0
ZWE,7.8
URY,7.7
CHN,7.7
TUN,7.7
GUY,7.6
IDN,7.4
IND,7.4
VNM,7.3
NAM,7.0
PHL,7.0
SWZ,7.0
MNG,7.0
GAB,6.9
COL,6.9
BOL,6.7
NIC,6.7
CRI,6.6
KEN,6.2
GHA,6.1
SYR,5.9
NPL,5.7
SUR,5.6
ZMB,5.6
BLZ,5.6
COD,5.6
COG,5.5
TLS,5.4
MWI,4.9
STP,4.8
KHM,4.8
LSO,4.8
COM,4.7
HND,4.6
GMB,4.5
UGA,4.3
TGO,4.3
HTI,4.3
TZA,4.2
DJI,3.8
BGD,3.8
GTM,3.7
IRQ,3.6
MAR,3.6
YEM,3.5
LBR,3.2
RWA,3.1
MOZ,3.0
LAO,2.9
BTN,2.8
MRT,2.7
CMR,2.7
CIV,2.6
CAF,2.4
SLE,2.4
BDI,2.2
SDN,2.2
SEN,1.9
PAK,1.9
MDG,1.8
NGA,1.7
BEN,1.6
ETH,1.5
GNB,1.5
TCD,1.5
GIN,1.3
AFG,1.0
MLI,0.9
SSD,0.7
NER,0.6
BFA,0.5
SOM,0.3
