iso,value
ARM,0
AUS,0
AUT,0
BEL,0
BLR,0
CAN,0
CHE,0
CZE,0
DEU,0
DNK,0
FIN,0
GBR,0
GEO,0
HUN,0
IRL,0
ISL,0
JPN,0
KGZ,0
KOR,0
LTU,0
MDA,0
NOR,0
NZL,0
RUS,0
SVK,0
SVN,0
SWE,0
UKR,0
USA,0
WSM,0
CYP,0
LVA,0
TKM,0
ALB,0
AZE,0
EST,0
ITA,0
PRI,0
TJK,0
CUB,0
GRC,0
NLD,0
TON,0
TTO,0
BHS,0
ESP,0
HKG,0
ANT,0
HRV,0
JAM,0
LCA,0
MAC,0
MTQ,0
PYF,0
SGP,0
BGR,0
BHR,0
CHL,0
FRA,0
GLP,0
GUY,0
LUX,0
MNE,0
MYS,0
NCL,0
POL,0
PRT,0
REU,0
SUR,0
URY,0
VCT,0
ABW,0
ARE,0
BIH,0
CHN,0
KWT,0
LBN,0
ROU,0
SRB,0
THA,0
TUR,0
CHI,0
ISR,0
KAZ,0
MLT,0
PRK,0
SAU,0
TUN,0
ZAF,0
DZA,0
IDN,0
IRN,0
JOR,0
MEX,0
MKD,0
MNG,0
PAN,0
ZWE,0
ARG,5
COL,5
MDV,5
PER,5
BRA,10
BWA,10
PHL,10
BOL,15
DOM,15
EGY,15
VEN,15
BRN,20
ECU,20
GNQ,20
MMR,20
NPL,20
SLV,20
CRI,25
MUS,25
NGA,25
OMN,25
YEM,25
IND,30
KEN,30
TLS,30
VNM,30
AFG,35
BRB,35
BTN,35
GRD,35
GUF,35
IRQ,35
LKA,35
NAM,35
PRY,35
UZB,35
VIR,35
FJI,40
FSM,40
GUM,40
PNG,40
SLB,40
BGD,45
GAB,45
HTI,45
NIC,45
PAK,45
QAT,45
BLZ,50
GHA,50
GMB,50
GTM,50
MAR,50
SYR,50
GNB,55
HND,55
MWI,55
SWZ,55
VUT,55
BEN,60
CMR,60
COG,60
KHM,60
ETH,65
CIV,70
COD,70
LSO,70
SLE,70
MOZ,75
MRT,75
TGO,75
AGO,80
COM,80
LAO,80
SEN,80
SOM,80
ZMB,80
BDI,90
BFA,90
CAF,90
CPV,90
DJI,90
ERI,90
GIN,90
LBR,90
LBY,90
MDG,90
MLI,90
MYT,90
NER,90
RWA,90
SDN,90
STP,90
TCD,90
TZA,90
UGA,90
