iso,value
KHM,1
QAT,1
GIN,1
BEN,2
BDI,3
MDG,3
RWA,3
NER,4
LAO,4
KAZ,4
THA,5
BRN,5
LBR,5
BFA,5
MAC,5
BHR,5
NPL,5
SLE,5
VNM,6
JPN,6
CUB,6
COD,6
TZA,6
UGA,6
BOL,6
CMR,7
SGP,7
GTM,7
PNG,7
HND,7
NGA,7
ETH,7
DEU,8
NOR,8
TTO,8
CHI,8
TCD,8
CHE,8
MWI,9
PER,9
VUT,9
NIC,9
BTN,9
HKG,9
MEX,10
ISL,10
MDA,10
ECU,10
IND,10
KOR,10
MLI,10
AUT,10
MYS,10
NLD,11
ISR,11
PAK,11
ARE,11
BGD,11
GHA,12
MLT,12
SOM,12
CHN,12
TON,12
MMR,12
AGO,12
COG,12
TGO,12
TWN,12
BLR,12
PAN,12
GNB,12
CAF,13
DNK,13
PRK,13
ERI,13
SLV,13
PRY,13
SEN,13
CAN,13
AUS,13
CIV,14
USA,14
AZE,14
GNQ,14
RUS,14
KGZ,14
TLS,14
VEN,15
MNG,15
EST,15
NZL,15
PHL,15
SUR,16
CZE,16
BRA,16
WSM,16
KWT,16
TJK,16
CHL,17
GBR,17
ZWE,17
HTI,17
CPV,17
TUR,18
ESH,18
KEN,18
ZMB,18
OMN,18
AFG,19
URY,19
LTU,19
ARG,19
LVA,20
LKA,20
TKM,20
FJI,20
COL,20
UZB,20
IDN,20
MAR,20
SVN,20
HUN,20
FIN,21
VIR,21
LBN,21
STP,22
BLZ,22
SDN,22
LUX,22
SWE,23
BEL,23
UKR,24
POL,24
BGR,24
IRL,24
IRN,24
FRA,24
MUS,24
ROU,25
GUM,25
GUY,25
DZA,26
CRI,26
PRI,27
MDV,27
BWA,29
YEM,29
BHS,29
SVK,30
DOM,30
BRB,31
SYR,31
SAU,31
JOR,32
GEO,32
ALB,33
IRQ,33
JAM,34
PRT,35
CYP,35
TUN,35
GAB,36
ARM,37
LSO,37
NCL,37
EGY,37
COM,37
MNE,37
MOZ,38
VCT,39
LCA,42
ITA,43
GMB,45
GUF,45
HRV,46
SRB,46
MRT,47
LBY,49
SLB,50
ZAF,51
GRC,52
NAM,52
ESP,53
MKD,53
SWZ,54
PYF,54
REU,56
GLP,58
MTQ,60
BIH,69
