iso,value
UKR,25
SVN,26
NOR,26
SVK,26
CZE,26
BLR,27
ISL,27
FIN,27
SWE,27
KGZ,27
KAZ,27
BEL,28
NLD,28
ALB,29
DNK,29
MDA,29
KSV,29
DEU,30
ARM,30
AUT,30
TJK,31
HUN,31
KHM,31
PAK,31
NER,31
CHE,32
MNE,32
POL,32
HRV,33
IRL,33
GBR,33
FRA,33
EST,33
GIN,34
MNG,34
BIH,34
SLE,34
CYP,34
LUX,35
ROU,35
IND,35
LTU,35
ITA,35
LVA,35
MUS,36
ESP,36
BGR,36
PRT,36
GRC,37
TZA,38
LAO,38
VNM,39
BTN,39
LKA,39
THA,39
TUR,40
SEN,40
UGA,41
URY,41
GEO,41
RUS,42
SLV,42
COD,42
CHN,42
ARG,42
MDG,43
PHL,43
ZWE,43
TCD,43
BEN,43
PER,45
DJI,45
DOM,46
TGO,46
ECU,47
BOL,47
MEX,48
PRY,48
CRI,49
COG,49
CHL,51
PAN,52
GTM,52
BRA,53
COL,54
HND,57
HTI,61
ZAF,63
