iso,value
ALB,104.7
DZA,105.2
AGO,36.4
ATG,82.4
ARG,101.2
ARM,100.2
ABW,101.4
AUT,100.5
AZE,101.6
BHS,94.8
BGD,107.0
BRB,98.8
BLR,97.1
BEL,90.3
BLZ,103.6
BEN,72.7
BMU,88.3
BTN,102.8
BOL,89.6
BWA,101.2
BRN,104.2
BGR,97.8
BFA,62.8
BDI,65.7
KHM,95.9
CMR,69.9
CAN,95.9
CPV,104.0
CAF,34.5
TCD,29.6
CHL,94.8
CHN,91.4
MAC,91.4
COL,99.8
COM,79.2
COG,78.7
COK,94.5
CRI,99.8
CIV,57.0
HRV,95.3
CUB,97.2
CYP,97.8
CZE,98.6
PRK,96.9
COD,60.0
DNK,99.2
DJI,59.9
DMA,116.6
DOM,92.6
ECU,109.3
EGY,104.3
SLV,105.0
GNQ,51.2
ERI,36.5
EST,101.7
ETH,53.3
FJI,106.7
FIN,100.0
GMB,72.9
GEO,121.7
DEU,102.4
GHA,100.7
GRC,96.1
GRD,89.9
GTM,85.4
GIN,55.6
GNB,55.1
GUY,81.5
HND,93.3
HUN,96.6
ISL,101.1
IND,100.1
IDN,100.1
IRN,101.5
IRQ,56.6
ISR,102.9
ITA,99.9
JPN,102.0
JOR,91.1
KAZ,108.8
KEN,105.5
KIR,119.8
KWT,106.8
KGZ,104.4
LAO,98.9
LVA,105.6
LBN,70.5
LSO,86.1
LBR,54.0
LIE,112.5
LTU,100.7
LUX,81.3
MDG,71.4
MWI,80.1
MYS,101.6
MDV,108.5
MLI,48.4
MLT,88.5
MHL,103.9
MRT,70.4
MUS,103.1
MEX,105.1
MNG,97.8
MNE,93.3
MSR,96.6
MAR,101.9
MOZ,45.0
MMR,86.0
NAM,89.2
NRU,97.3
NPL,115.7
NIC,89.3
NER,62.2
NGA,71.6
NIU,100.0
NOR,98.1
OMN,105.4
PAK,65.3
PLW,81.4
PSE,94.9
PAN,101.2
PNG,72.4
PRY,89.6
PER,99.9
PHL,105.0
POL,98.0
QAT,98.3
KOR,102.8
MDA,91.1
ROU,91.9
RUS,100.9
RWA,65.7
KNA,86.2
LCA,101.1
VCT,98.6
WSM,105.1
SMR,92.9
STP,85.1
SAU,109.0
SEN,60.9
SRB,101.1
SYC,110.3
SLE,65.3
SGP,78.7
SVK,97.9
SVN,99.3
SLB,88.5
SSD,27.0
ESP,99.6
LKA,96.9
SDN,54.2
SUR,99.3
SWZ,79.7
SWE,100.9
CHE,96.2
SYR,68.6
TJK,95.8
THA,90.2
MKD,88.0
TLS,109.7
TGO,79.8
TON,106.4
TTO,95.1
TUN,100.3
TUR,98.8
TUV,109.4
UGA,53.4
UKR,111.6
ARE,108.3
TZA,77.1
URY,103.6
UZB,98.2
VUT,97.8
VEN,95.7
VNM,103.9
YEM,61.0
ZMB,79.9
ZWE,90.9
