iso,value
CAF,87
HTI,87
PRK,88
NAM,89
ZMB,92
MDG,97
COG,97
TJK,97
ZWE,98
SWZ,98
ETH,99
AFG,99
BWA,100
KEN,102
YEM,102
TCD,103
BOL,103
LAO,104
CYP,104
RWA,105
TZA,105
TLS,106
UGA,108
BGD,108
IND,108
PAK,108
SRB,108
LBR,109
MNG,109
HUN,109
MOZ,110
GNB,110
MWI,111
SEN,111
SLE,111
DOM,111
ECU,112
JPN,112
KHM,113
MMR,113
SLV,114
SLB,114
SVK,114
DJI,115
LKA,115
PRY,115
LSO,116
GEO,116
THA,116
GTM,116
SUR,116
BGR,116
MDA,116
NIC,117
CMR,118
CPV,118
GIN,118
IRQ,118
JAM,118
GUY,118
STP,119
PHL,119
MKD,119
ARM,120
NPL,121
IDN,121
VCT,121
CRI,121
PAN,121
PER,121
URY,121
ALB,121
HRV,121
AGO,122
TGO,122
KGZ,122
UZB,122
HND,122
COL,122
BFA,123
NGA,123
VNM,123
NLD,123
TTO,124
BLZ,124
FJI,124
ESP,124
GAB,125
NER,125
BRB,125
SVN,125
SWE,126
UKR,126
BEN,127
AZE,127
CHL,127
BIH,127
WSM,128
NZL,128
MUS,129
TKM,129
CHN,129
MYS,129
OMN,129
VEN,129
BRN,130
MEX,130
ZAF,131
CIV,131
MDV,131
VUT,131
CZE,131
FIN,131
ISL,131
GMB,132
MRT,132
ARE,132
BLR,132
DNK,132
EST,132
PRT,132
AUS,133
GRC,134
KWT,135
LBN,135
BRA,135
LVA,135
MLT,136
RUS,136
MLI,137
KAZ,137
SAU,137
ROU,137
CHE,137
GBR,137
IRN,138
JOR,138
KIR,138
NOR,138
DEU,139
POL,139
ITA,140
LUX,140
FRA,141
KOR,142
CUB,143
DZA,144
MAR,144
LTU,144
CAN,145
IRL,146
MNE,147
USA,147
TUN,148
GHA,150
ARG,151
AUT,151
BEL,151
EGY,152
TUR,156
ISR,161
