iso,value
DZA,5.11
EGY,7.47
MAR,5.67
TUN,3.86
BDI,7.04
ETH,6.25
KEN,5.84
MDG,7.07
MWI,7.63
MUS,4.90
MOZ,8.61
RWA,8.62
SYC,6.65
UGA,5.20
TZA,11.54
ZMB,10.10
AGO,7.22
CMR,7.81
TCD,8.03
COG,6.29
GAB,5.22
STP,9.12
BWA,2.93
LSO,4.43
NAM,3.45
ZAF,3.04
BEN,8.07
BFA,8.37
CPV,5.70
CIV,6.72
GMB,7.25
GHA,5.40
GIN,9.90
MLI,7.67
MRT,10.09
NER,7.24
NGA,6.33
SEN,8.37
SLE,6.83
TGO,6.81
ARM,8.87
CHN,3.25
MNG,4.78
KOR,1.85
BGD,7.99
BTN,5.07
IND,4.68
IRN,4.47
MDV,3.51
NPL,9.50
PAK,7.14
LKA,6.88
BRN,2.95
KHM,7.78
IDN,6.73
LAO,8.62
MYS,2.91
MMR,8.49
PHL,6.84
SGP,1.02
THA,4.52
BHR,2.24
IRQ,5.06
JOR,4.50
KWT,2.60
OMN,3.28
QAT,1.75
SAU,2.89
TUR,3.79
YEM,7.58
ATG,2.63
ABW,1.31
BHS,1.62
BRB,2.39
DOM,4.09
GRD,3.35
HTI,9.73
JAM,4.96
KNA,2.86
LCA,3.44
VCT,3.40
TTO,4.04
BLZ,3.03
CRI,3.24
SLV,4.28
GTM,7.11
HND,4.76
MEX,3.74
NIC,4.54
PAN,2.95
BOL,5.85
BRA,2.61
CHL,2.62
COL,2.74
ECU,3.39
PRY,4.33
PER,3.87
SUR,6.23
URY,3.14
VEN,4.52
FJI,5.13
ALB,6.43
AUS,1.36
AUT,1.43
BLR,5.29
BEL,1.68
BMU,1.49
BIH,4.82
BGR,3.19
CAN,1.25
HRV,3.16
CYP,2.00
CZE,2.27
DNK,1.31
EST,2.76
FIN,1.60
FRA,1.70
DEU,1.54
GRC,2.55
HUN,2.43
ISL,1.77
IRL,1.23
ISR,2.20
ITA,2.01
JPN,1.89
LVA,2.86
LTU,3.50
LUX,1.27
MLT,2.59
MNE,5.58
NLD,1.38
NZL,1.96
NOR,1.51
POL,2.65
PRT,2.47
MDA,4.82
ROU,3.70
RUS,4.30
SRB,3.96
SVK,2.60
SVN,2.21
ESP,2.01
SWE,1.46
CHE,1.35
MKD,5.08
UKR,5.23
GBR,1.19
USA,1.00
