iso,value
BDI,57.5
TLS,50.2
PNG,49.5
ERI,49.1
MDG,48.6
YEM,46.8
GTM,46.5
PAK,45.0
LAO,43.8
MOZ,43.1
NER,43.0
COD,42.6
MWI,42.4
AFG,40.9
CAF,40.7
ETH,40.4
ZMB,40.0
TCD,39.9
IND,38.7
SDN,38.2
RWA,37.9
SLE,37.9
MLI,37.7
NPL,37.4
BGD,36.4
IDN,36.4
TZA,34.7
UGA,34.2
BEN,34.0
SSD,33.7
GIN,33.5
DJI,33.5
AGO,33.5
LSO,33.2
BFA,32.9
NGA,32.9
KHM,32.4
COM,32.1
LBR,32.1
CMR,31.7
MMR,31.0
PHL,30.3
CIV,29.6
PRK,27.9
GNB,27.6
TGO,27.5
BTN,26.9
ZWE,26.8
TJK,26.8
KEN,26.0
SWZ,25.5
ECU,25.2
GMB,25.0
LBY,23.3
BWA,23.2
NAM,23.1
HND,22.7
IRQ,22.6
EGY,22.3
ZAF,22.2
MRT,22.0
HTI,21.9
COG,21.2
VNM,19.4
SEN,19.4
UZB,18.7
GHA,18.7
BOL,18.1
AZE,18.0
GAB,17.5
THA,16.3
ALB,15.7
NIC,15.5
MAR,14.9
LKA,14.7
PER,14.6
OMN,14.1
SLV,14.0
PAN,13.6
MEX,13.6
KAZ,13.1
KGZ,12.9
ARM,12.9
TKM,12.9
VEN,12.8
RUS,12.8
GUY,12.0
LBN,12.0
DZA,11.7
COL,11.5
PRY,10.9
GEO,10.9
MNG,10.8
MYS,10.8
URY,10.7
MUS,10.2
TUN,10.1
ROU,9.5
TUR,9.5
MNE,9.4
BHR,9.0
BIH,8.9
SUR,8.6
ARG,8.1
JOR,7.8
MKD,7.7
UKR,7.6
BGR,7.5
DOM,7.1
CHN,6.8
IRN,6.8
MDA,6.4
BRA,6.1
SRB,6.0
KWT,5.8
JAM,5.7
CUB,4.9
SVK,4.2
FJI,3.7
BLR,3.7
TTO,3.6
CRI,3.5
SAU,3.4
EST,3.2
LVA,3.2
LTU,3.1
CHL,1.8
HRV,1.1
QAT,1.0
