"iso","value"
"BDI",0.2
"COM",0.7
"DJI",1.2
"ERI",0.3
"ETH",0.5
"KEN",1
"MDG",0.3
"MWI",0.2
"MUS",9.3
"MOZ",0.7
"RWA",0.6
"SYC",10.9
"UGA",0.9
"TZA",0.5
"ZMB",0.9
"ZWE",0.3
"AGO",3
"CMR",0.9
"CAF",0.3
"TCD",0.8
"COG",2.5
"COD",0.2
"GNQ",10.8
"GAB",7.6
"STP",1.2
"DZA",4.9
"EGY",4.3
"LBY",8.3
"MAR",3.7
"SDN",1.2
"TUN",5
"BWA",8.3
"LSO",0.9
"NAM",5
"ZAF",6.6
"SWZ",4
"BEN",0.9
"BFA",0.6
"CPV",2
"CIV",0.8
"GMB",1.2
"GHA",1.4
"GIN",0.8
"GNB",0.5
"LBR",0.2
"MLI",0.6
"MRT",0.9
"NER",0.2
"NGA",1.3
"SEN",0.9
"SLE",0.4
"TGO",0.8
"ATG",11.6
"BHS",19.1
"BRB",13.2
"DMA",9.7
"DOM",5.4
"GRD",10
"HTI",0.6
"JAM",5.8
"KNA",10.1
"LCA",9.9
"VCT",9.7
"TTO",9
"BLZ",6.5
"CRI",7.5
"SLV",4.8
"GTM",3.5
"HND",1.8
"MEX",8.2
"NIC",1.7
"PAN",8.2
"CAN",20.4
"USA",22.1
"ARG",7
"BOL",4
"BRA",7
"CHL",9.9
"COL",5.3
"ECU",4.6
"GUY",6.1
"PRY",4.9
"PER",4.7
"SUR",8.5
"URY",9.5
"VEN",7.6
"KAZ",7.7
"KGZ",1.2
"TJK",0.8
"TKM",3.9
"UZB",1.5
"CHN",4.4
"JPN",17.3
"MNG",1.8
"PRK",15.9
"TWN",18.6
"BRN",18.1
"KHM",1
"IDN",3
"LAO",1.2
"MYS",7.6
"MMR",0.4
"PHL",1.3
"SGP",19.6
"THA",6.4
"TLS",4.1
"VNM",1.3
"AFG",0.3
"BGD",0.8
"BTN",3.7
"IND",1.3
"IRN",7.4
"MDV",6.1
"NPL",0.5
"PAK",1.4
"LKA",4.2
"ARM",4.6
"AZE",5.1
"BHR",12.9
"CYP",16.3
"GEO",4.6
"IRQ",3.1
"ISR",17.2
"JOR",4.5
"KWT",17.2
"LBN",9.4
"OMN",14
"QAT",16.3
"SAU",12.5
"TUR",6.5
"ARE",17.2
"YEM",1.2
"BLR",7.7
"BGR",10.7
"CZE",14.8
"HUN",12.6
"POL",10
"MDA",1.8
"ROU",9.2
"RUS",8.7
"SVK",11.4
"UKR",5.7
"DNK",24
"EST",14
"FIN",21.4
"ISL",26
"IRL",19.8
"LVA",10.7
"LTU",11.4
"NOR",28.3
"SWE",22.2
"GBR",23.5
"ALB",6.1
"BIH",5.3
"HRV",10.8
"GRC",15.1
"ITA",17.6
"MLT",14.6
"MNE",7.1
"PRT",16.1
"SRB",7.3
"SVN",15
"ESP",17.7
"MKD",6.1
"AUT",22
"BEL",21.4
"FRA",22.1
"DEU",21.6
"LUX",21
"NLD",23.3
"CHE",26.3
"AUS",20
"NZL",19
"FJI",3.3
"PNG",1.1
"SLB",1.6
"VUT",2.9
"KIR",3.9
"MHL",5.5
"FSM",5.4
"WSM",4
"TON",5.4
"TUV",1.7
