"iso","value"
"BLR",14.1
"MDA",13.6
"LTU",12.4
"RUS",12.2
"ROU",11.6
"UKR",11.2
"AND",11.1
"EST",10.7
"HUN",10.7
"CZE",10.5
"SVK",10.5
"PRT",10.4
"SRB",10.2
"GRD",10.1
"POL",10.1
"FIN",9.9
"LVA",9.9
"KOR",9.9
"AUS",9.9
"HRV",9.9
"FRA",9.9
"IRL",9.6
"LUX",9.6
"DEU",9.5
"SVN",9.4
"GBR",9.4
"BGR",9.2
"DNK",9.2
"ESP",9
"BEL",8.9
"ZAF",8.9
"GAB",8.8
"NZL",8.8
"NAM",8.7
"CHE",8.6
"LCA",8.4
"AUT",8.3
"GRC",8.3
"KAZ",8.3
"CAN",8.2
"NGA",8.2
"NLD",8
"RWA",7.9
"UGA",7.9
"CHL",7.8
"ARG",7.5
"BDI",7.5
"CYP",7.4
"SWE",7.4
"USA",7.4
"VEN",7.2
"PRY",7.1
"BRA",7
"MNE",7
"SLE",7
"BLZ",6.9
"BWA",6.8
"CMR",6.8
"KNA",6.6
"GUY",6.5
"PER",6.5
"NIU",6.5
"PAN",6.5
"PLW",6.4
"GEO",6.2
"NOR",6.2
"TZA",6.2
"URY",6.1
"AGO",6.1
"LAO",5.9
"ECU",5.8
"JPN",5.8
"MEX",5.8
"BIH",5.7
"DMA",5.7
"ISL",5.7
"STP",5.7
"THA",5.7
"ALB",5.7
"MLT",5.7
"BHS",5.6
"CPV",5.6
"DOM",5.6
"MNG",5.6
"BRB",5.5
"BFA",5.5
"CHN",5.4
"ITA",5.4
"MKD",5.4
"TTO",5.4
"GNQ",5.3
"VCT",5.3
"SUR",5.3
"VNM",5.3
"LSO",5.3
"COK",5.2
"HTI",5.2
"COL",5
"CIV",4.8
"BOL",4.8
"SWZ",4.6
"ZWE",4.6
"SYC",4.5
"KHM",4.4
"ATG",4.4
"CRI",4.4
"PHL",4.4
"ARM",4.3
"CUB",4.2
"NIC",4
"JAM",4
"GHA",3.9
"LBR",3.8
"UZB",3.7
"TCD",3.6
"IND",3.5
"KEN",3.5
"KGZ",3.5
"TKM",3.5
"ARE",3.5
"ETH",3.4
"GNB",3.2
"HND",3.2
"ZMB",3.2
"COG",3.2
"CAF",3.1
"GTM",3.1
"PRK",3
"LKA",3
"COD",2.9
"MUS",2.9
"WSM",2.9
"NRU",2.8
"GMB",2.7
"FSM",2.7
"SLV",2.6
"FJI",2.4
"KIR",2.4
"PNG",2.4
"ISR",2.3
"TJK",2.3
"SDN",2.2
"MWI",2
"LBN",1.9
"AZE",1.9
"MOZ",1.9
"TGO",1.9
"NPL",1.8
"BHR",1.7
"BEN",1.7
"SGP",1.6
"TUR",1.6
"MDG",1.5
"SLB",1.4
"TON",1.3
"QAT",1.2
"TUN",1.2
"TUV",1.2
"VUT",1.1
"DJI",1.1
"MYS",1.1
"MDV",1
"SYR",1
"ERI",0.9
"MLI",0.9
"DZA",0.8
"IRN",0.8
"BRN",0.7
"MAR",0.7
"OMN",0.7
"AFG",0.6
"BTN",0.6
"GIN",0.6
"JOR",0.6
"MMR",0.6
"IDN",0.5
"SEN",0.5
"TLS",0.5
"IRQ",0.4
"SOM",0.4
"EGY",0.3
"NER",0.2
"YEM",0.2
"BGD",0.2
"COM",0.2
"SAU",0.2
"KWT",0.1
"LBY",0.1
"MRT",0.1
"PAK",0.1
