"iso","value"
"AFG",23.7
"ALB",25.7
"DZA",26
"ASM",34.8
"AND",26.6
"AGO",24.1
"ATG",29.1
"ARG",27.2
"ARM",27.4
"AUS",26.8
"AUT",24.5
"AZE",27.9
"BHS",28.9
"BHR",25.1
"BGD",21.4
"BRB",29
"BLR",26.6
"BEL",25.1
"BLZ",30.2
"BEN",24.2
"BMU",29.2
"BTN",24.2
"BOL",27.4
"BIH",24.6
"BWA",26.4
"BRA",26.1
"BRN",26.1
"BGR",25.2
"BFA",22
"BDI",21.4
"CPV",25.3
"KHM",21.9
"CMR",25
"CAN",26.7
"CAF",23.3
"TCD",22.6
"CHL",28
"CHN",23.4
"CHN",22.8
"COL",26.4
"COM",25.1
"COG",24
"COK",32.5
"CRI",27
"CIV",24
"HRV",25.2
"CUB",26
"CYP",26.4
"CZE",25.8
"DNK",24.5
"DJI",23.7
"DMA",28.8
"DOM",27.1
"COD",22.5
"ECU",27.6
"EGY",30.6
"SLV",28
"GNQ",25.8
"ERI",21
"EST",25.8
"ETH",21
"FJI",28.6
"FIN",25.4
"FRA",24.4
"PYF",29.6
"GAB",26.2
"GMB",24.4
"GEO",27.2
"DEU",25.6
"GHA",24.9
"GRC",27.1
"GRL",26.5
"GRD",28.6
"GTM",27.3
"GIN",23.3
"GNB",23.8
"GUY",27.5
"HTI",23.9
"HND",27.3
"HUN",25.5
"ISL",25.2
"IND",21.5
"IDN",23.4
"IRN",27
"IRQ",28.7
"IRL",27
"ISR",26.7
"ITA",25.1
"JAM",29.2
"JPN",21.7
"JOR",29.6
"KAZ",27.3
"KEN",24
"KIR",30.8
"KWT",30.3
"KGZ",26.9
"LAO",22.7
"LVA",26
"LBN",27.2
"LSO",27
"LBR",24.9
"LBY",28.8
"LTU",26.1
"LUX",25.4
"MKD",25.4
"MDG",21
"MWI",23.2
"MYS",25.7
"MDV",25.4
"MLI",22.9
"MLT",26.7
"MHL",30.2
"MRT",26.3
"MUS",26
"MEX",28.6
"FSM",31.2
"MDA",27.3
"MNG",26.1
"MNE",25.6
"MAR",26.2
"MOZ",22.9
"MMR",23.3
"NAM",25.1
"NRU",32.9
"NPL",22.2
"NLD",25
"NZL",27.7
"NIC",27.8
"NER",22.1
"NGA",23.9
"NIU",33.2
"PRK",22.2
"NOR",25.4
"PSE",29.5
"OMN",26.1
"PAK",24.4
"PLW",29.6
"PAN",27.8
"PNG",25.7
"PRY",26.1
"PER",27
"PHL",23.4
"POL",25.8
"PRT",25.4
"PRI",28.3
"QAT",29.8
"ROU",25.1
"RUS",27
"RWA",22.6
"KNA",30.5
"LCA",30
"VCT",27.9
"WSM",33.8
"STP",25.5
"SAU",28.9
"SEN",24
"SRB",25.3
"SYC",27.8
"SLE",23.6
"SGP",23.1
"SVK",25.4
"SVN",26.3
"SLB",26.4
"SOM",22.5
"ZAF",29.2
"KOR",23.2
"ESP",25.8
"LKA",23.6
"SDN",26.6
"SUR",28
"SWZ",28.8
"SWE",25.3
"CHE",23.7
"SYR",28.8
"TWN",23
"TJK",25.4
"TZA",23.8
"THA",24.5
"TLS",20.8
"TGO",24.3
"TKL",33.7
"TON",33.5
"TTO",28.8
"TUN",26.9
"TUR",28.6
"TKM",26.4
"TUV",31.5
"UGA",23
"UKR",26.1
"ARE",28.9
"GBR",27
"USA",28.7
"URY",27
"UZB",26.4
"VUT",26.7
"VEN",27.1
"VNM",21.1
"YEM",23.5
"ZMB",23.6
"ZWE",25
