"iso","value"
"AFG",11.6
"ALB",7.7
"DZA",12.3
"ASM",30.8
"AND",8.1
"AGO",8.5
"ATG",9.9
"ARG",9.9
"ARM",11
"AUS",6.8
"AUT",5.4
"AZE",11.6
"BHS",11.2
"BHR",12
"BGD",10.3
"BRB",10.5
"BLR",8
"BEL",5.7
"BLZ",10
"BEN",7.4
"BMU",14.2
"BTN",11.9
"BOL",7
"BIH",8
"BWA",7.6
"BRA",7.8
"BRN",9.2
"BGR",8.4
"BFA",7.4
"BDI",4.2
"CPV",9.1
"KHM",7.4
"CMR",6.5
"CAN",6.2
"CAF",8
"TCD",7.9
"CHL",10.2
"CHN",9.9
"HKG",9.3
"COL",8.3
"COM",7.9
"COG",7.7
"COK",28.3
"CRI",8.8
"CIV",7.3
"HRV",8.4
"CUB",7.3
"CYP",8.3
"CZE",8.4
"DNK",5.4
"DJI",8.6
"DMA",8.5
"DOM",8.6
"COD",6.2
"ECU",7.5
"EGY",16
"SLV",9.3
"GNQ",9.5
"ERI",6
"EST",7.7
"ETH",5.8
"FJI",15.9
"FIN",6.4
"FRA",7.5
"PYF",22.3
"GAB",10
"GMB",9.4
"GEO",13.3
"DEU",6
"GHA",6.4
"GRC",7.2
"GRL",5.6
"GRD",8.8
"GTM",8.9
"GIN",6.8
"GNB",7.4
"GUY",9.1
"HTI",8.6
"HND",8.5
"HUN",8.9
"ISL",7.6
"IND",9.1
"IDN",7.4
"IRN",11.4
"IRQ",17.2
"IRL",7.3
"ISR",7.1
"ITA",7.1
"JAM",9.3
"JPN",8.4
"JOR",16.5
"KAZ",12.4
"KEN",5.8
"KIR",22
"KWT",19.7
"KGZ",9.9
"LAO",7.7
"LVA",7.8
"LBN",14.5
"LSO",7.3
"LBR",7.8
"LBY",15.2
"LTU",8.9
"LUX",7
"MKD",7.6
"MDG",6.3
"MWI",6.6
"MYS",11.4
"MDV",11.1
"MLI",8.4
"MLT",9
"MHL",20.8
"MRT",8.5
"MUS",12.9
"MEX",10.9
"FSM",20.5
"MDA",7.8
"MNG",12.2
"MNE",7.6
"MAR",14
"MOZ",6.6
"MMR",6.9
"NAM",7.3
"NRU",30.1
"NPL",11.7
"NLD",5.2
"NZL",7.9
"NIC",9.2
"NER",5.9
"NGA",6.3
"NIU",26.8
"PRK",5.8
"NOR",6.2
"PSE",16.5
"OMN",14.3
"PAK",12.6
"PLW",24.8
"PAN",8.9
"PNG",15.4
"PRY",8
"PER",7.2
"PHL",7.1
"POL",8.4
"PRT",8.4
"PRI",13
"QAT",18.9
"ROU",7.3
"RUS",7.4
"RWA",4.3
"KNA",12.7
"LCA",13.7
"VCT",9.3
"WSM",22.7
"STP",8.3
"SAU",17.6
"SEN",7.5
"SRB",7.3
"SYC",10.3
"SLE",7.1
"SGP",9.4
"SVK",8.2
"SVN",7.3
"SLB",12.6
"SOM",7.4
"ZAF",9.7
"KOR",9.3
"ESP",8.5
"LKA",7
"SDN",8.3
"SUR",10.9
"SWZ",7.9
"SWE",5.8
"CHE",5.3
"SYR",14
"TWN",8
"TJK",10.3
"TZA",6
"THA",8.3
"TLS",5.4
"TGO",7.3
"TKL",26.2
"TON",21.9
"TTO",10.4
"TUN",12.1
"TUR",13
"TKM",12.4
"TUV",23.2
"UGA",4.4
"UKR",7.4
"ARE",15
"GBR",6.6
"USA",8.2
"URY",9.1
"UZB",10.5
"VUT",15.7
"VEN",9.9
"VNM",5.5
"YEM",12.6
"ZMB",6.5
"ZWE",6.5
