"iso","value"
"AFG",12.2
"ALB",7.1
"DZA",12.6
"ASM",32.9
"AND",5.8
"AGO",7.8
"ATG",13
"ARG",9.5
"ARM",12
"AUS",5
"AUT",3.2
"AZE",13
"BHS",13.7
"BHR",10.6
"BGD",9.3
"BRB",13.7
"BLR",7.5
"BEL",3.5
"BLZ",15.2
"BEN",7
"BMU",15.4
"BTN",11.5
"BOL",8.9
"BIH",6.9
"BWA",9.5
"BRA",8.7
"BRN",9.7
"BGR",6.9
"BFA",5.5
"BDI",4.1
"CPV",8
"KHM",6.9
"CMR",6.9
"CAN",4.8
"CAF",7.6
"TCD",6.2
"CHL",10.8
"CHN",7.6
"HKG",5.8
"COL",8.7
"COM",8
"COG",7.6
"COK",26.7
"CRI",8.9
"CIV",6.3
"HRV",6.3
"CUB",9.6
"CYP",5.7
"CZE",6.6
"DNK",3.3
"DJI",7.6
"DMA",13.6
"DOM",11.4
"COD",6.1
"ECU",8.5
"EGY",19.8
"SLV",10.7
"GNQ",9.2
"ERI",5
"EST",6.5
"ETH",5
"FJI",18.9
"FIN",4.3
"FRA",4.4
"PYF",19.2
"GAB",10
"GMB",7.9
"GEO",12.1
"DEU",3.9
"GHA",6.6
"GRC",6
"GRL",4.6
"GRD",13.3
"GTM",10.4
"GIN",6.1
"GNB",6.8
"GUY",12.6
"HTI",8.8
"HND",10
"HUN",6.7
"ISL",4.2
"IND",8.3
"IDN",8
"IRN",12.9
"IRQ",17.5
"IRL",5.1
"ISR",5.8
"ITA",4.6
"JAM",14.4
"JPN",5
"JOR",17.2
"KAZ",11.4
"KEN",6.2
"KIR",22.6
"KWT",19.6
"KGZ",10.8
"LAO",7.6
"LVA",6.6
"LBN",12.2
"LSO",9.9
"LBR",7.6
"LBY",16.6
"LTU",7.1
"LUX",3.9
"MKD",6.8
"MDG",4.8
"MWI",6
"MYS",10.7
"MDV",10.7
"MLI",6.4
"MLT",6.4
"MHL",21.5
"MRT",9.4
"MUS",13.1
"MEX",11.5
"FSM",23.4
"MDA",8.4
"MNG",11.2
"MNE",6.6
"MAR",13.4
"MOZ",6.2
"MMR",7.9
"NAM",7.5
"NRU",28.4
"NPL",9.5
"NLD",3.5
"NZL",6
"NIC",11
"NER",5.3
"NGA",6
"NIU",27.3
"PRK",5.9
"NOR",3.9
"PSE",17.5
"OMN",12.3
"PAK",12.1
"PLW",21.6
"PAN",9.8
"PNG",14.3
"PRY",8.3
"PER",8.1
"PHL",7.3
"POL",7
"PRT",5.3
"PRI",13.4
"QAT",18.8
"ROU",6.4
"RUS",8
"RWA",4.5
"KNA",16.3
"LCA",15.1
"VCT",11.8
"WSM",26.6
"STP",7.8
"SAU",17
"SEN",7.3
"SRB",6.5
"SYC",10.4
"SLE",6.6
"SGP",6.5
"SVK",6.3
"SVN",7
"SLB",15.1
"SOM",6.2
"ZAF",12.6
"KOR",6.7
"ESP",5.7
"LKA",7.7
"SDN",9.5
"SUR",13.5
"SWZ",11.3
"SWE",4
"CHE",2.8
"SYR",15.3
"TWN",6
"TJK",9.9
"TZA",6.1
"THA",8.8
"TLS",5.5
"TGO",7
"TKL",27.3
"TON",26.4
"TTO",13
"TUN",12.9
"TUR",14.2
"TKM",12
"TUV",24.3
"UGA",4.7
"UKR",7.2
"ARE",15.4
"GBR",4.9
"USA",6.4
"URY",9.8
"UZB",10.7
"VUT",16
"VEN",9
"VNM",5.1
"YEM",10.1
"ZMB",6.7
"ZWE",7.6
