"iso","value"
"DNK",7.53
"CHE",7.51
"ISL",7.5
"NOR",7.5
"FIN",7.41
"CAN",7.4
"NLD",7.34
"NZL",7.33
"AUS",7.31
"SWE",7.29
"ISR",7.27
"AUT",7.12
"USA",7.1
"CRI",7.09
"PRI",7.04
"DEU",6.99
"BRA",6.95
"BEL",6.93
"IRL",6.91
"LUX",6.87
"MEX",6.78
"SGP",6.74
"GBR",6.72
"CHL",6.7
"PAN",6.7
"ARG",6.65
"CZE",6.6
"ARE",6.57
"URY",6.55
"MLT",6.49
"COL",6.48
"FRA",6.48
"THA",6.47
"SAU",6.38
"TWN",6.38
"QAT",6.38
"ESP",6.36
"DZA",6.36
"GTM",6.32
"SUR",6.27
"KWT",6.24
"BHR",6.22
"TTO",6.17
"VEN",6.08
"SVK",6.08
"SLV",6.07
"MYS",6.01
"NIC",5.99
"UZB",5.99
"ITA",5.98
"ECU",5.98
"BLZ",5.96
"JPN",5.92
"KAZ",5.92
"MDA",5.9
"RUS",5.86
"POL",5.84
"KOR",5.84
"BOL",5.82
"LTU",5.81
"BLR",5.8
"SVN",5.77
"PER",5.74
"TKM",5.66
"MUS",5.65
"LBY",5.61
"LVA",5.56
"CYP",5.55
"PRY",5.54
"ROU",5.53
"EST",5.52
"JAM",5.51
"HRV",5.49
"HKG",5.46
"SOM",5.44
"TUR",5.39
"IDN",5.31
"JOR",5.3
"AZE",5.29
"PHL",5.28
"CHN",5.24
"BTN",5.2
"KGZ",5.18
"SRB",5.18
"BIH",5.16
"MNE",5.16
"DOM",5.16
"MAR",5.15
"HUN",5.14
"PAK",5.13
"LBN",5.13
"PRT",5.12
"MKD",5.12
"VNM",5.06
"TUN",5.05
"GRC",5.03
"TJK",5
"MNG",4.91
"LAO",4.88
"NGA",4.88
"HND",4.87
"IRN",4.81
"ZMB",4.8
"NPL",4.79
"PSE",4.75
"ALB",4.66
"BGD",4.64
"SLE",4.64
"IRQ",4.57
"NAM",4.57
"CMR",4.51
"ETH",4.51
"ZAF",4.46
"LKA",4.41
"IND",4.4
"MMR",4.39
"EGY",4.36
"ARM",4.36
"KEN",4.36
"UKR",4.32
"GHA",4.28
"COD",4.27
"GEO",4.25
"COG",4.24
"SEN",4.22
"BGR",4.22
"MRT",4.2
"ZWE",4.19
"MWI",4.16
"SDN",4.14
"GAB",4.12
"MLI",4.07
"HTI",4.03
"BWA",3.97
"COM",3.96
"CIV",3.92
"KHM",3.91
"AGO",3.87
"NER",3.86
"SSD",3.83
"TCD",3.76
"BFA",3.74
"UGA",3.74
"YEM",3.72
"MDG",3.69
"TZA",3.67
"LBR",3.62
"GIN",3.61
"RWA",3.52
"BEN",3.48
"AFG",3.36
"TGO",3.3
"SYR",3.07
"BDI",2.9
