"iso","value"
"DZA",10.4
"MAR",3.3
"TUN",1
"AGO",3.6
"BEN",0.1
"BWA",0.4
"BDI",0.1
"CMR",0.4
"CPV",0
"TCD",0.2
"COD",0.5
"CIV",0.5
"ETH",0.4
"GAB",0.2
"GMB",0
"GHA",0.2
"GNB",0
"KEN",1
"LSO",0
"LBR",0
"MDG",0.1
"MWI",0
"MLI",0.3
"MRT",0.1
"MOZ",0.1
"NAM",0.6
"NGA",2.1
"RWA",0.1
"SEN",0.2
"SYC",0
"SLE",0
"ZAF",3.5
"SSD",1.4
"SWZ",0.1
"TZA",0.5
"TGO",0.1
"UGA",0.3
"ZMB",0.4
"ZWE",0.4
"BLZ",0
"DOM",0.4
"SLV",0.2
"GTM",0.3
"HND",0.3
"JAM",0.1
"MEX",7.7
"NIC",0.1
"TTO",0.3
"CAN",15
"USA",596
"ARG",5.5
"BOL",0.5
"BRA",24.6
"CHL",4.6
"COL",9.9
"ECU",2.7
"GUY",0
"PRY",0.5
"PER",3
"URY",1
"VEN",5.3
"KAZ",1.9
"KGZ",0.2
"CHN",214.8
"JPN",40.9
"KOR",36.4
"MNG",0.1
"TWN",9.8
"AFG",0.2
"BGD",2.7
"IND",51.3
"NPL",0.3
"PAK",9.5
"LKA",1.8
"BRN",0.4
"IDN",7.6
"MYS",4.5
"MMR",2.2
"PHL",3.9
"SGP",9.4
"THA",5.7
"TLS",0
"VNM",4.6
"AUS",23.6
"FJI",0
"NZL",2.1
"PNG",0.1
"ALB",0.1
"BIH",0.2
"BGR",0.7
"HRV",0.8
"CZE",1.8
"EST",0.5
"HUN",1
"LVA",0.3
"LTU",0.5
"MKD",0.1
"MNE",0.1
"POL",10.5
"ROU",2.5
"SRB",0.7
"SVK",1
"SVN",0.4
"ARM",0.4
"AZE",3
"BLR",0.7
"GEO",0.3
"MDA",0
"RUS",66.4
"UKR",3.6
"AUT",2.5
"BEL",4.2
"CYP",0.4
"DNK",3.5
"FIN",3
"FRA",50.9
"DEU",39.4
"GRC",5.1
"IRL",1
"ITA",23.8
"LUX",0.3
"MLT",0.1
"NLD",8.9
"NOR",5.9
"PRT",3.7
"ESP",14.1
"SWE",5.4
"CHE",4.8
"GBR",55.5
"BHR",1.4
"EGY",5.5
"IRN",10.3
"IRQ",13.1
"ISR",16.1
"JOR",1.6
"LBN",2.2
"OMN",9.9
"SAU",87.2
"TUR",15.3
