"iso","value"
"NER",74
"SSD",70
"TCD",68
"ETH",67
"BFA",64
"SOM",64
"GNB",58
"MLI",56
"GIN",50
"CAF",48
"BDI",48
"MDG",48
"MOZ",44
"SLE",44
"BEN",38
"COG",37
"LBR",35
"RWA",35
"UGA",33
"CIV",32
"TZA",32
"SDN",32
"GMB",32
"TLS",31
"SEN",31
"NGA",30
"MRT",30
"AFG",30
"MWI",30
"IND",28
"CMR",27
"PAK",26
"TGO",23
"ZMB",23
"BGD",21
"HTI",20
"YEM",19
"LAO",19
"NPL",19
"LSO",18
"KHM",16
"STP",16
"KEN",16
"COM",15
"NAM",13
"COG",12
"GHA",12
"DJI",11
"BTN",9
"BOL",8
"ZWE",8
"SWZ",7
"VUT",7
"HND",7
"NIC",7
"MAR",5
"GAB",4
"PHL",4
"IRQ",3
"MNG",2
"PER",2
"SUR",2
"COL",2
"BLZ",1
"VNM",1
"ZAF",1
"SYR",1
"GUY",1
"TJK",1
"IDN",1
"MEX",1
"DOM",1
"CHN",1
"ECU",1
"ARG",1
"JAM",0
"BRA",0
"EGY",0
"TTO",0
"AZE",0
"TUN",0
"PSE",0
"MKD",0
"MDV",0
"UZB",0
"GEO",0
"SRB",0
"JOR",0
"LBY",0
"THA",0
"MDA",0
"KGZ",0
"ALB",0
"ARM",0
"MNE",0
"BIH",0
"KAZ",0
"BRB",0
"BLR",0
"LCA",0
"UKR",0
