"iso","value"
"ALB",95.5
"AND",96.5
"ARM",99.4
"AUS",99.9
"AZE",98.5
"BHS",95.1
"BHR",68.3
"BEL",93.9
"BLZ",93.9
"BTN",20.4
"BOL",58.6
"BIH",78
"BRA",76.1
"CMR",36.3
"CYM",99.8
"CHL",85.5
"CHN",95
"MAC",87.6
"COL",75.4
"CRI",82
"HRV",97
"CUB",91.2
"CYP",93.9
"CZE",99.9
"COD",56.8
"DNK",100
"DOM",66.5
"ECU",81.1
"SLV",56.4
"ETH",24.6
"FRA",97.5
"GEO",98.8
"DEU",100
"GHA",64.7
"GRC",94.7
"GTM",61.8
"HND",58.5
"HUN",99.5
"IDN",76.6
"ISR",95.6
"ITA",94.4
"JAM",99.2
"JPN",99.9
"JOR",85.1
"KEN",51
"KWT",57.7
"LVA",99.7
"LTU",98.7
"MYS",91.2
"MLI",16.3
"MLT",98.5
"MHL",96.4
"MUS",67
"MEX",78.8
"MNG",95.5
"MNE",97.5
"MOZ",23.2
"NLD",98.4
"NOR",99.7
"OMN",64.4
"PAK",48.5
"PSE",92.7
"PAN",82.6
"PRY",73.4
"PER",79.8
"PHL",82.1
"POL",98.9
"PRT",90
"PRI",88.8
"QAT",84.2
"KOR",94.3
"MDA",99.3
"ROU",98.6
"RUS",99.4
"RWA",31.1
"WSM",99
"SAU",81.3
"SEN",27.3
"SRB",93.7
"SGP",85.2
"SVK",99.8
"SVN",99.9
"ZAF",81.8
"ESP",90.1
"SWE",100
"THA",61.5
"TGO",30.4
"TON",96
"TUR",87.8
"UGA",32.5
"GBR",99.9
"TZA",64.8
"USA",98.8
"URY",88.9
"UZB",100
"ZWE",80.9
