iso,value
IRQ,111
PHL,75
DZA,58
COL,43
SOM,41
BRA,36
RUS,36
MEX,33
PAK,33
IND,26
TUR,22
BGD,19
RWA,17
TJK,14
AFG,12
SYR,12
LKA,10
SLE,9
KHM,8
FRA,8
IDN,8
NGA,8
PER,8
AGO,7
NPL,7
THA,6
UKR,6
HND,5
PRY,5
SSD,5
COD,4
GTM,4
LBN,4
USA,4
DOM,3
SLV,3
HTI,3
LBY,3
ARG,2
AZE,2
BLR,2
BDI,2
CAN,2
CHN,2
EGY,2
IRN,2
CIV,2
KEN,2
MLI,2
NIC,2
ZAF,2
VEN,2
YEM,2
BOL,1
BFA,1
CRI,1
HRV,1
CYP,1
TMP,1
ECU,1
GMB,1
GEO,1
GHA,1
GRC,1
GIN,1
IRL,1
ISR,1
JPN,1
KAZ,1
KGZ,1
LVA,1
LTU,1
MOZ,1
MMR,1
PAN,1
PNG,1
POL,1
COG,1
SAU,1
ESP,1
SDN,1
TKM,1
UGA,1
GBR,1
URY,1
ZWE,1
