iso,value
ISL,54799
NOR,23326
BHR,18217
CAN,15519
FIN,15510
QAT,15471
KWT,14911
LUX,14193
SWE,13870
NAC,13241
USA,12988
ARE,10904
KOR,10428
AUS,10134
BRN,9704
NZL,9084
HIC,9084
PST,8954
SGP,8840
SAU,8741
AUT,8513
OED,8041
BEL,7967
JPN,7836
CHE,7807
FRA,7374
DEU,7019
TTO,6876
SVN,6833
NLD,6821
EST,6665
ISR,6559
RUS,6539
EMU,6491
CZE,6285
DNK,6040
EUU,6036
OMN,5981
HKG,5934
GIB,5769
IRL,5702
MNE,5618
ECS,5429
GBR,5407
ESP,5401
SVK,5202
ITA,5159
GRC,5029
CUW,5006
KAZ,4892
MLT,4736
PRT,4685
BGR,4640
MYS,4512
SRB,4444
ZAF,4326
ECA,4201
TEC,4175
CEB,4076
POL,3938
LBY,3923
HUN,3890
CHL,3879
CHN,3762
HRV,3754
LTU,3664
BLR,3648
UKR,3600
CYP,3595
LTE,3574
EAS,3568
MKD,3557
LVA,3473
UMC,3409
VEN,3245
BIH,3219
LBN,3194
WLD,3104
ARG,3093
URY,2985
TEA,2957
EAP,2928
KSV,2917
IRN,2899
MEA,2880
TUR,2745
TKM,2602
ALB,2532
BRA,2529
ARB,2497
ROU,2495
THA,2471
GEO,2460
IBD,2371
MUS,2148
TLA,2130
LCN,2118
JOR,2104
AZE,2093
MEX,2057
PAN,2038
MIC,2000
LAC,1968
CRI,1955
IBT,1916
MNG,1909
KGZ,1887
LMY,1878
ARM,1870
IRQ,1781
MNA,1772
TMN,1772
EGY,1697
TJK,1682
UZB,1637
NAM,1611
BWA,1564
DOM,1517
PRY,1473
TUN,1435
CUB,1425
MDA,1353
ECU,1333
VNM,1306
DZA,1277
PER,1270
COL,1177
GAB,1168
SYR,1127
JAM,1126
EAR,1126
SLV,915
MAR,866
IDN,788
IND,765
LMC,745
ZMB,731
HND,721
BOL,705
PHL,692
SAS,673
TSA,673
PRK,660
NIC,598
IDB,572
GTM,555
FCS,533
ZWE,532
LKA,526
SSA,488
SSF,488
TSS,488
PAK,450
MOZ,436
GHA,382
IDA,380
BGD,293
CMR,278
PRE,271
CIV,252
YEM,247
IDX,240
COG,234
AGO,227
KHM,221
SEN,219
LDC,191
KEN,168
MMR,164
SDN,159
TGO,148
NGA,142
NPL,128
COD,110
TZA,89
ETH,65
NER,49
HTI,49
SSD,39
