iso,value
ALB,100
PRY,100
ISL,100
NPL,100
ETH,100
COG,100
NAM,99
NOR,98
ZMB,97
TJK,97
KGZ,91
MOZ,91
URY,91
CRI,90
TGO,88
KEN,81
AUT,81
GEO,80
NZL,79
SDN,78
CMR,74
COL,74
HRV,74
BRA,73
KOR,73
GTM,69
VEN,68
GHA,65
CAN,63
MMR,62
SUR,62
KHM,61
PRT,61
SLV,60
CHE,58
DNK,56
SWE,56
PAN,56
ZWE,56
MNE,55
COG,55
LVA,55
NIC,54
AGO,53
PER,52
ECU,49
HND,44
ITA,43
TZA,42
VNM,42
ROU,42
CHL,41
LTU,41
ESP,40
LKA,39
FIN,39
SVN,39
BIH,37
GAB,34
SRB,33
ARG,32
PAK,30
BOL,28
DEU,26
ARM,26
PHL,26
IRL,25
GRC,24
MKD,24
CIV,24
SVK,23
CHN,22
UZB,21
LUX,21
TUR,21
MUS,20
GBR,19
NGA,18
MEX,18
BEL,17
RUS,17
FRA,16
BGR,16
IND,15
AUS,15
JPN,14
SYR,14
DOM,13
USA,13
POL,13
MAR,12
IDN,11
NLD,11
EST,11
CZE,11
HUN,11
SEN,10
JAM,10
MYS,10
THA,9
EGY,9
HTI,9
KAZ,8
CYP,7
MDA,6
AZE,6
UKR,6
IRN,5
IRQ,4
CUB,4
CUW,4
MLT,3
MNG,3
TUN,3
KSV,3
SGP,2
KOR,2
ISR,2
ZAF,1
BGD,1
LBN,1
BLR,1
NER,1
BEN,1
ERI,1
SSD,0
DZA,0
JOR,0
ARE,0
HKG,0
BWA,0
BRN,0
SAU,0
