iso,value
QAT,40.4
TTO,34.5
CUW,34.1
KWT,27.2
MAF,24.4
BHR,23.7
BRN,18.9
ARE,18.7
LUX,18.7
SAU,17.9
USA,16.4
AUS,16.3
OMN,15.6
GIB,15.5
KAZ,15.4
EST,15.1
NCL,14.7
MNG,14.5
CAN,13.5
TKM,12.8
RUS,12.5
FRO,12.3
KOR,11.8
NOR,11.7
PLW,10.7
NLD,10.1
GRL,10.1
JPN,9.8
CZE,9.4
SGP,9.4
CYM,9.2
DEU,9.2
ZAF,8.9
ISR,8.8
ABW,8.5
FIN,8.5
BEL,8.4
BHS,8.2
LBY,8.1
MYS,8.0
IRN,8.0
POL,7.9
NZL,7.6
IRL,7.6
CHN,7.5
AUT,7.4
SYC,7.2
GBR,7.1
SVN,7.0
GNQ,6.8
DNK,6.8
BLR,6.7
AND,6.5
GRC,6.3
SRB,6.3
HKG,6.3
SVK,6.2
VEN,6.1
ISL,6.1
VGB,6.1
TCA,6.0
UKR,6.0
ATG,5.8
BIH,5.7
ITA,5.7
BMU,5.6
BGR,5.4
MLT,5.2
CYP,5.2
KNA,5.1
BRB,5.1
ESP,5.1
FRA,5.0
CHE,5.0
IRQ,4.9
CHL,4.7
SWE,4.6
THA,4.5
ARG,4.5
PRT,4.4
NRU,4.3
LTU,4.3
LBN,4.3
TUR,4.2
HUN,4.2
HRV,4.2
MKD,4.0
MEX,3.9
SUR,3.9
MAC,3.8
AZE,3.8
MNE,3.6
ROU,3.5
LVA,3.5
DZA,3.5
CUB,3.5
JOR,3.4
UZB,3.4
PYF,3.0
MUS,3.0
GAB,2.9
GRD,2.9
JAM,2.8
ECU,2.8
PAN,2.7
MDV,2.7
GUY,2.5
TUN,2.5
BWA,2.5
BRA,2.5
EGY,2.4
LCA,2.2
URY,2.2
DOM,2.1
PRK,2.0
GEO,2.0
TON,2.0
MHL,1.9
FJI,1.9
VCT,1.9
IDN,1.9
BOL,1.9
COL,1.9
PER,1.9
SYR,1.9
ARM,1.8
DMA,1.8
MAR,1.7
KGZ,1.7
VNM,1.7
ALB,1.7
CRI,1.6
IND,1.6
BLZ,1.5
FSM,1.4
MDA,1.4
LIE,1.4
AGO,1.4
NAM,1.3
WSM,1.3
BTN,1.2
HND,1.2
LSO,1.1
SLV,1.0
PHL,1.0
YEM,1.0
ZWE,0.9
CPV,0.9
SWZ,0.9
GTM,0.9
PAK,0.8
PNG,0.8
LKA,0.8
PRY,0.8
NIC,0.8
DJI,0.7
AFG,0.7
MRT,0.7
STP,0.6
SEN,0.6
PSE,0.6
KIR,0.6
COG,0.6
BEN,0.6
GHA,0.6
NGA,0.6
TJK,0.4
BGD,0.4
VUT,0.4
CIV,0.4
SDN,0.4
TLS,0.4
KHM,0.4
SLB,0.4
LAO,0.3
TGO,0.3
CMR,0.3
KEN,0.3
GMB,0.3
ZMB,0.3
MMR,0.2
NPL,0.2
HTI,0.2
LBR,0.2
COM,0.2
TZA,0.2
SLE,0.2
GIN,0.2
BFA,0.2
MOZ,0.2
GNB,0.1
MDG,0.1
UGA,0.1
SSD,0.1
ETH,0.1
NER,0.1
MWI,0.1
RWA,0.1
CAF,0.1
MLI,0.1
SOM,0.1
TCD,0.0
COD,0.0
BDI,0.0

