iso,value
DNK,71.19
PRT,70.13
PRT,69.91
ISR,68.73
DEU,65.97
SVN,65.12
FSM,63.76
MKD,62.98
BGR,62.65
FIN,62.47
LTU,62.09
MAR,61.82
BGR,61.38
NLD,60.76
GRC,60.39
NPL,59.52
RUS,58.65
CHL,58.43
ECU,58.39
SVK,58.27
GHA,58.21
GEO,58.19
MKD,57.83
SVK,57.25
KWT,57.04
MKD,57.03
CAN,56.96
BEL,56.87
GBR,56.09
KOR,55.06
LBR,54.91
PRT,54.84
PRT,54.65
CZE,53.85
PNG,53.76
LCA,53.49
GHA,53.3
TUR,52.63
KGZ,52.41
TZA,51.9
BWA,51.18
JPN,50.69
QAT,49.81
AZE,48.6
UKR,48.34
PAK,48.16
RUS,47.25
THA,47.24
LBR,45.45
VUT,44.34
SLV,43.33
MNE,42.81
TCD,38.74
PAN,37.64
DMA,37.23
ETH,36.56
CZE,32.97
MLT,21.08
