iso,value
AFG,13500
ALB,7715
DZA,19560
ASM,175
AND,160
AGO,578560
AIA,55
ATG,98
ARG,271120
ARM,3320
ABW,4
AUS,1247510
AUT,38690
AZE,11394
BHS,5150
BHR,6
BGD,14290
BRB,63
BLR,86335
BEL,6834
BLZ,13663
BEN,43110
BMU,10
BTN,27549
BOL,547640
BIH,21850
BWA,108400
BRA,4935380
VGB,36
BRN,3800
BGR,38230
BFA,53500
BDI,2760
KHM,94570
CMR,188160
CAN,3470690
CPV,899
CYM,127
CAF,221700
TCD,48750
CHL,177350
CHN,2083213
COL,585017
COM,370
COG,223340
COK,151
CRI,27560
CIV,104010
HRV,19220
CUB,32000
CYP,1727
CZE,26670
PRK,50310
COD,1525780
DNK,6122
DJI,56
DMA,433
DOM,19830
ECU,125479
EGY,730
SLV,2650
GNQ,15680
ERI,15100
EST,22320
ETH,124990
FLK,0
FRO,1
FJI,10172
FIN,222180
FRA,169890
GUF,81300
PYF,1550
GAB,230000
GMB,4880
GEO,28224
DEU,114190
GHA,93370
GIB,0
GRC,40540
GRL,2
GRD,170
GLP,715
GUM,250
GTM,35400
GGY,2
GIN,63640
GNB,19720
GUY,165260
HTI,970
HND,45920
HUN,20690
ISL,492
IND,706820
IDN,910100
IRN,106920
IRQ,8250
IRL,7540
IMN,35
ISR,1650
ITA,92970
JAM,3352
JPN,249580
JEY,6
JOR,975
KAZ,33090
KEN,44130
KIR,122
KWT,63
KGZ,6370
LAO,187614
LVA,33560
LBN,1373
LSO,490
LBR,41790
LBY,2170
LIE,69
LTU,21800
LUX,867
MDG,124730
MWI,31470
MYS,221950
MDV,10
MLI,47150
MLT,3
MHL,126
MTQ,485
MRT,2245
MUS,386
MYT,58
MEX,660400
FSM,643
MDA,4090
MCO,0
MNG,125528
MNE,8270
MSR,25
MAR,56320
MOZ,379400
MMR,290410
NAM,69190
NRU,0
NPL,36360
NLD,3760
NCL,8390
NZL,101520
NIC,31140
ANT,12
NER,11420
NGA,69930
NIU,181
NFK,5
MNP,295
NOR,121120
OMN,20
PAK,14720
PLW,403
PAN,46170
PNG,335590
PRY,153230
PER,739730
PHL,80400
PCN,35
POL,94350
PRT,31820
PRI,4960
QAT,0
KOR,61840
REU,880
ROU,68610
RUS,8149305
RWA,4800
KNA,110
LCA,203
SPM,28
VCT,270
WSM,1710
SMR,0
STP,536
SAU,9770
SEN,82730
SRB,27200
SYC,407
SLE,30440
SGP,164
SVK,19400
SVN,12480
SLB,21850
SOM,63630
ZAF,92410
SSD,71570
ESP,184179
LKA,20700
SHN,20
MAF,11
SDN,192099
SUR,153320
SJM,0
SWZ,5860
SWE,280730
CHE,12540
SYR,4910
TJK,4120
THA,163990
MKD,9980
TLS,6860
TGO,1880
TKL,0
TON,90
TTO,2345
TUN,10410
TUR,117150
TKM,41270
TCA,344
TUV,10
UGA,20770
GBR,31440
UKR,96570
ARE,3226
TZA,460600
USA,3100950
VIR,176
URY,18450
UZB,32199
VUT,4400
VEN,466830
VNM,147730
WLF,58
PSE,92
ESH,7070
YEM,5490
ZMB,486350
ZWE,140620
