iso,value
CHN,15422
AUS,3080
CHL,3008
USA,2750
PHL,2400
GAB,2000
LAO,1892
IND,1784
VNM,1290
FRA,1130
TUR,1024
ROU,692
SLE,636
ITA,538
CUB,536
ETH,406
KEN,366
ESP,341
DOM,332
CRI,302
GRC,302
THA,300
GHA,284
AZE,262
URY,227
UKR,218
POL,212
BLR,199
BGR,172
GBR,170
MYS,142
TUN,102
BTN,99
DZA,76
RWA,68
IRL,57
DNK,50
FJI,49
BDI,46
HUN,46
MDA,46
SWZ,46
CHE,38
PRI,33
ISR,22
CZE,20
DEU,20
LTU,20
NOR,20
AUT,18
TTO,16
GMB,16
SRB,14
ISL,13
ARE,11
LSO,10
CPV,10
EGY,6
NLD,6
BEL,4
HRV,4
LVA,4
TJK,4
ARM,2
NZL,2
SVK,2
SVN,2
LBN,1
MUS,0
FSM,0
BHR,0
WLF,0
ABW,0
AFG,0
AIA,0
AND,0
ANT,0
ATG,0
BHS,0
BIH,0
BLM,0
BMU,0
BRB,0
BRN,0
COK,0
CYM,0
DJI,0
ESH,0
FIN,0
FLK,0
FRO,0
GEO,0
GGY,0
GIB,0
GRD,0
GRL,0
GUM,0
IMN,0
IRN,0
IRQ,0
JEY,0
JOR,0
KAZ,0
KIR,0
KNA,0
KWT,0
LBY,0
LIE,0
LUX,0
MAF,0
MCO,0
MDV,0
MHL,0
MKD,0
MLT,0
MNE,0
MSR,0
MTQ,0
NCL,0
NFK,0
NIC,0
NPL,0
NRU,0
OMN,0
PCN,0
PLW,0
PSE,0
PYF,0
QAT,0
REU,0
SAU,0
SGP,0
SHN,0
SJM,0
SMR,0
SSD,0
STP,0
SWE,0
SYC,0
SYR,0
TCA,0
TKL,0
TKM,0
TON,0
TUV,0
VAT,0
VCT,0
VUT,0
WSM,0
YEM,0
ZAF,0
VGB,0
SPM,0
CYP,0
ASM,0
GLP,0
LCA,-1
NIU,-1
VIR,-1
MNP,-2
MYT,-2
DMA,-3
JAM,-4
CIV,-4
COM,-4
EST,-4
HTI,-8
ALB,-10
GUF,-16
JPN,-16
BGD,-26
PNG,-28
MRT,-35
SUR,-38
ERI,-44
SLV,-44
BLZ,-50
SLB,-56
LKA,-66
KOR,-76
MAR,-80
KGZ,-80
GNB,-100
GUY,-100
UZB,-111
TLS,-112
PRT,-114
GNQ,-116
NER,-124
COG,-154
CAF,-156
MDG,-160
PAN,-164
MWI,-180
TGO,-198
COL,-267
LBR,-300
GIN,-360
GTM,-364
SEN,-400
RUS,-410
PAK,-430
CAN,-466
BEN,-500
BFA,-598
NAM,-742
SOM,-768
ECU,-787
MLI,-790
MEX,-916
MNG,-973
BWA,-1022
HND,-1200
AGO,-1248
TCD,-1266
PRK,-1270
KHM,-1274
UGA,-1352
VEN,-1644
ZMB,-1666
PER,-1676
SDN,-1744
MOZ,-2064
CMR,-2200
BOL,-2890
ARG,-2968
COD,-3114
ZWE,-3124
PRY,-3254
TZA,-3720
NGA,-4096
MMR,-5464
IDN,-6844
BRA,-9840
