iso,value
LIE,0.99
SMR,0.99
SWE,0.99
FIN,0.99
VAT,0.99
LTU,0.99
LVA,0.99
BFA,0.99
LUX,0.99
EST,0.99
BEL,0.99
COG,0.98
KGZ,0.98
DEU,0.98
CYP,0.98
TJK,0.98
GMB,0.98
CHE,0.98
MLI,0.98
BWA,0.98
SUR,0.98
MRT,0.98
DNK,0.98
TKM,0.97
TUN,0.97
CAN,0.97
LBY,0.97
MKD,0.97
CZE,0.97
UZB,0.97
POL,0.97
BLR,0.97
MDA,0.97
NAM,0.97
LSO,0.97
GNB,0.96
GAB,0.96
SVK,0.96
SRB,0.96
JOR,0.96
RUS,0.96
ABW,0.95
NOR,0.95
IRL,0.95
SYR,0.95
GUF,0.95
PRY,0.95
ROU,0.95
NLD,0.95
MNG,0.95
SEN,0.94
CAF,0.94
UKR,0.94
BGR,0.94
SDN,0.94
NER,0.94
SVN,0.94
AGO,0.94
SSD,0.93
ATA,0.93
HUN,0.93
ESH,0.93
AIA,0.92
BDI,0.92
TCD,0.92
GUY,0.92
AND,0.92
EGY,0.92
GRL,0.92
LBN,0.92
SLE,0.91
BRB,0.91
ITA,0.91
SAU,0.91
ERI,0.91
BEN,0.91
AZE,0.91
SOM,0.91
PRK,0.91
DZA,0.90
BIH,0.90
HRV,0.90
BRA,0.90
FRO,0.90
AUT,0.90
GIN,0.90
COD,0.89
ATG,0.89
TLS,0.89
CIV,0.89
OMN,0.89
MAR,0.89
MLT,0.88
YEM,0.88
ISL,0.88
ZMB,0.88
LBR,0.88
FRA,0.88
CPV,0.88
KWT,0.88
TUR,0.88
MYT,0.87
NGA,0.87
KAZ,0.87
ARE,0.87
BOL,0.87
PAK,0.87
SGP,0.87
MDV,0.86
GEO,0.86
ARG,0.86
NIC,0.85
TGO,0.85
ALB,0.85
BHR,0.85
TKL,0.85
ESP,0.85
RWA,0.85
GRC,0.85
LCA,0.85
GHA,0.85
PRT,0.84
PNG,0.84
TCA,0.84
ARM,0.84
MHL,0.84
IRN,0.84
USA,0.84
ETH,0.84
ASM,0.84
QAT,0.84
AFG,0.84
CMR,0.83
BRN,0.83
MOZ,0.83
URY,0.83
AUS,0.83
TUV,0.83
SLV,0.83
VEN,0.83
KHM,0.83
NPL,0.82
DJI,0.82
IRQ,0.82
CRI,0.82
SWZ,0.82
WSM,0.82
MNE,0.82
LAO,0.81
GNQ,0.81
MMR,0.81
MWI,0.81
KEN,0.80
THA,0.80
BTN,0.80
MDG,0.80
TTO,0.80
CYM,0.79
VIR,0.79
ZWE,0.79
STP,0.79
PSE,0.79
JPN,0.79
GBR,0.79
KOR,0.78
ZAF,0.78
COM,0.78
KIR,0.78
NRU,0.78
BGD,0.77
SLB,0.77
IDN,0.77
CHL,0.77
COK,0.77
VCT,0.76
VGB,0.76
PLW,0.76
UGA,0.76
MCO,0.75
CHN,0.75
ISR,0.75
VNM,0.75
BLZ,0.75
HND,0.75
GRD,0.74
MTQ,0.74
COL,0.74
PAN,0.74
DOM,0.74
KNA,0.73
HTI,0.72
GTM,0.72
PYF,0.72
PER,0.72
JAM,0.71
TON,0.71
FSM,0.71
BHS,0.71
TZA,0.70
MYS,0.70
ECU,0.69
IND,0.69
MEX,0.68
FLK,0.68
SYC,0.68
DMA,0.67
FJI,0.67
PRI,0.67
VUT,0.66
CUB,0.65
PHL,0.65
NCL,0.65
NZL,0.64
GLP,0.63
BMU,0.61
MNP,0.59
MSR,0.59
LKA,0.57
REU,0.54
GUM,0.44
MUS,0.40
