iso,value
AFG,4.8
ALB,3.5
AND,3.1
ARG,5.3
ARM,2.2
AUS,5.3
AUT,5.6
AZE,2.5
BGD,2.0
BRB,6.7
BLR,5.0
BLZ,6.2
BEN,4.4
BMU,1.8
BTN,5.9
BOL,7.3
BRN,3.8
BFA,4.5
BDI,5.4
KHM,2.0
CMR,3.0
CPV,5.0
TCD,2.9
CHL,4.6
HKG,3.6
MAC,2.1
COL,4.7
COK,3.9
CRI,7.0
CIV,4.7
CUW,4.9
DEU,5.0
COD,2.2
ETH,4.5
FJI,3.9
FIN,7.2
GMB,2.8
GHA,6.0
GTM,2.8
GIN,3.5
GNB,2.4
HND,5.9
IDN,3.3
IRN,3.0
ISR,5.9
JAM,6.0
JPN,3.8
KGZ,6.8
LAO,4.2
LVA,4.9
LBN,2.6
MDG,2.1
MWI,6.9
MYS,6.1
MLI,4.3
MRT,3.3
MUS,5.0
MCO,1.0
MOZ,6.5
NPL,4.7
NLD,5.6
NZL,6.4
NER,6.8
OMN,5.0
PAK,2.5
PER,3.7
PRI,6.4
QAT,3.5
MDA,7.5
RWA,5.0
LCA,4.8
STP,3.9
SLE,2.8
SGP,2.9
SVK,4.1
ZAF,6.1
ESP,4.3
LKA,1.6
SWE,7.7
THA,4.1
TLS,7.7
TGO,4.8
UGA,2.2
UKR,6.7
GBR,5.7
TZA,3.5
VUT,4.9
