iso,value
AFG,23
ALB,1
DZA,4
AGO,44
ARG,5
ARM,0
ABW,2
AUS,0
AUT,0
AZE,2
BHS,1
BHR,2
BGD,22
BRB,16
BLR,0
BEL,0
BLZ,26
BEN,43
BTN,27
BOL,7
BIH,0
BWA,6
BRA,6
BRN,7
BGR,1
BFA,79
BDI,59
KHM,30
CMR,29
CAN,0
CPV,32
CAF,50
TCD,72
CHI,0
CHL,1
CHN,3
COL,6
COM,50
COG,22
CRI,10
CIV,46
HRV,1
CUB,1
CYP,0
CZE,0
PRK,1
COD,40
DNK,0
DJI,47
DOM,9
ECU,9
EGY,8
SLV,14
GNQ,9
ERI,47
EST,0
ETH,52
FJI,18
FIN,0
FRA,1
GUF,13
PYF,1
GAB,14
GMB,29
GEO,0
DEU,1
GHA,25
GRC,0
GRD,16
GLP,1
GUM,18
GTM,31
GIN,62
GNB,45
GUY,4
HTI,35
HND,24
HKG,0
HUN,0
ISL,0
IND,18
IDN,5
IRN,4
IRQ,18
IRL,0
ISR,1
ITA,0
JAM,3
JPN,0
JOR,6
KAZ,3
KEN,19
KWT,4
KGZ,0
LAO,26
LVA,1
LBN,4
LSO,34
LBR,73
LBY,28
LTU,0
LUX,1
MAC,1
MDG,55
MWI,34
MYS,4
MDV,5
MLI,74
MLT,4
MTQ,1
MRT,42
MUS,11
MYT,47
MEX,5
FSM,18
MNG,4
MNE,1
MAR,32
MOZ,62
MMR,8
NAM,17
NPL,17
NLD,2
ANT,1
NCL,1
NZL,0
NIC,24
NER,74
NGA,18
NOR,0
OMN,9
PAK,34
PAN,4
PNG,18
PRY,13
PER,5
PHL,7
POL,1
PRT,4
PRI,0
QAT,18
KOR,0
MDA,0
REU,0
ROU,2
RUS,0
RWA,65
LCA,1
VCT,6
WSM,0
STP,33
SAU,3
SEN,52
SRB,2
SLE,52
SGP,0
SVK,0
SVN,0
SLB,18
SOM,39
ZAF,3
ESP,1
LKA,23
SDN,65
SUR,2
SWZ,27
SWE,0
CHE,0
SYR,30
TJK,1
THA,2
MKD,4
TLS,22
TGO,43
TON,1
TTO,0
TUN,4
TUR,2
TKM,0
UGA,46
UKR,0
ARE,8
GBR,1
TZA,40
USA,0
VIR,16
URY,2
UZB,23
VUT,23
VEN,8
VNM,10
YEM,9
ZMB,40
ZWE,4
