iso,value
ARM,1970
AUS,1970
AUT,1970
BEL,1970
BLR,1970
CAN,1970
CHE,1970
CZE,1970
DEU,1970
DNK,1970
FIN,1970
GBR,1970
GEO,1970
HUN,1970
IRL,1970
ISL,1970
JPN,1970
KGZ,1970
KOR,1970
LTU,1970
MDA,1970
NOR,1970
NZL,1970
RUS,1970
SVK,1970
SVN,1970
SWE,1970
UKR,1970
USA,1970
WSM,1970
CYP,1975
LVA,1975
TKM,1975
ALB,1980
AZE,1980
EST,1980
ITA,1980
PRI,1980
TJK,1980
CUB,1985
GRC,1985
NLD,1985
TON,1985
TTO,1985
BHS,1990
ESP,1990
HKG,1990
ANT,1995
HRV,1995
JAM,1995
LCA,1995
MAC,1995
MTQ,1995
PYF,1995
SGP,1995
BGR,2000
BHR,2000
CHL,2000
FRA,2000
GLP,2000
GUY,2000
LUX,2000
MNE,2000
MYS,2000
NCL,2000
POL,2000
PRT,2000
REU,2000
SUR,2000
URY,2000
VCT,2000
ABW,2005
ARE,2005
BIH,2005
CHN,2005
KWT,2005
LBN,2005
ROU,2005
SRB,2005
THA,2005
TUR,2005
CHI,2010
ISR,2010
KAZ,2010
MLT,2010
PRK,2010
SAU,2010
TUN,2010
ZAF,2010
DZA,2015
IDN,2015
IRN,2015
JOR,2015
MEX,2015
MKD,2015
MNG,2015
PAN,2015
ZWE,2015
ARG,2020
COL,2020
MDV,2020
PER,2020
BRA,2025
BWA,2025
PHL,2025
BOL,2030
DOM,2030
EGY,2030
VEN,2030
BRN,2035
ECU,2035
GNQ,2035
MMR,2035
NPL,2035
SLV,2035
CRI,2040
MUS,2040
NGA,2040
OMN,2040
YEM,2040
IND,2045
KEN,2045
TLS,2045
VNM,2045
AFG,2050
BRB,2050
BTN,2050
GRD,2050
GUF,2050
IRQ,2050
LKA,2050
NAM,2050
PRY,2050
UZB,2050
VIR,2050
FJI,2055
FSM,2055
GUM,2055
PNG,2055
SLB,2055
BGD,2060
GAB,2060
HTI,2060
NIC,2060
PAK,2060
QAT,2060
BLZ,2065
GHA,2065
GMB,2065
GTM,2065
MAR,2065
SYR,2065
GNB,2070
HND,2070
MWI,2070
SWZ,2070
VUT,2070
BEN,2075
CMR,2075
COG,2075
KHM,2075
ETH,2080
CIV,2085
COD,2085
LSO,2085
SLE,2085
MOZ,2090
MRT,2090
TGO,2090
AGO,2095
COM,2095
LAO,2095
SEN,2095
SOM,2095
ZMB,2095
BDI,2105
BFA,2105
CAF,2105
CPV,2105
DJI,2105
ERI,2105
GIN,2105
LBR,2105
LBY,2105
MDG,2105
MLI,2105
MYT,2105
NER,2105
RWA,2105
SDN,2105
STP,2105
TCD,2105
TZA,2105
UGA,2105
