iso,value
BLR,1.4
BRB,1.9
TUN,2.1
UKR,2.4
BTN,2.9
ECU,3
BLZ,3.2
JAM,3.3
ARM,3.9
LCA,3.9
SUR,4.1
CRI,4.1
MEX,4.2
BGD,4.3
ARG,4.4
IRQ,4.7
DZA,5
ALB,5.1
PAN,5.6
PSE,5.7
TUR,5.9
CPV,6.4
CHL,6.6
EGY,7
SWZ,7.3
BRA,8.1
SRB,9.5
COL,9.7
LAO,10.1
PHL,11.1
IRN,11.4
MKD,12.5
MNE,12.5
DOM,12.8
GAB,13.4
SEN,14.5
MRT,14.6
MNG,15.2
VUT,15.2
BEN,15.3
HND,15.3
UGA,16.3
VNM,16.4
GUY,18.3
SLV,19
GMB,19.2
KHM,19.3
MLI,21.4
GHA,21.8
COM,22
MDG,22.9
COG,23.3
HTI,24.4
NGA,24.7
SDN,24.9
GTM,25.8
KGZ,25.8
STP,26
TCD,26.1
BDI,26.3
CIV,26.4
ETH,27.4
PRY,27.6
GNQ,27.8
TGO,27.9
GIN,28.3
CAF,28.5
RWA,28.5
TZA,28.8
AFG,29.4
NER,30.5
SLE,37.4
NPL,37.4
GNB,38
COD,38.4
BFA,39.2
MWI,39.3
CMR,47
