iso,value
AFG,4.4
ALB,14.7
DZA,7.8
AGO,5.9
ARG,5.3
ARM,13.7
AUS,4.6
AUT,4.9
AZE,3.7
BHS,12.1
BHR,0.6
BGD,2.7
BRB,10
BLR,5.1
BEL,7.2
BLZ,8.3
BEN,0.8
BTN,1.7
BOL,2.4
BIH,27.7
BWA,14.8
BRA,4.7
BRN,1
BGR,10.7
BFA,2.1
BDI,1.1
KHM,0.3
CMR,3.6
CAN,5.7
CPV,8.2
CAF,5.9
TCD,4.4
CHI,4.1
CHL,5
CHN,3.5
COL,7.3
COM,14.1
COG,5.9
COD,3.1
CRI,6.5
HRV,14.7
CUB,2.3
CYP,13.6
CZE,5.4
CIV,7.9
DNK,5.5
DJI,
DOM,10.6
ECU,2.6
EGY,7.8
SLV,4.5
GNQ,6.6
ERI,6.2
EST,6.7
ETH,4.2
FJI,5.8
FIN,7
FRA,8.8
GUF,19.9
PYF,11.3
GAB,18.3
GMB,24.1
GEO,10.2
DEU,4.7
GHA,4.2
GRC,24.6
GLP,23.5
GUM,8
GTM,1.3
GIN,2
GNB,6
GUY,7
HTI,4.8
HND,2.8
HKG,2.7
HUN,6.7
ISL,3.9
IND,2.2
IDN,3
IRN,8.2
IRQ,11
IRL,10
ISR,5
ITA,10.7
JAM,10
JPN,3.3
JOR,7.8
KAZ,5.3
KEN,7.1
PRK,5.3
KOR,3
KWT,2.1
KGZ,6.6
LAO,0.7
LVA,9.9
LBN,3.9
LSO,23.1
LBR,3.8
LBY,15.4
LTU,9.8
LUX,4.7
MAC,1.3
MKD,25.3
MDG,1.3
MWI,5.8
MYS,1.4
MDV,7.1
MLI,7.2
MLT,4.9
MTQ,19.7
MRT,27.3
MUS,5
MEX,3.8
MDA,3.3
MNG,6.1
MNE,15.8
MAR,7.8
MOZ,14.8
MMR,3
NAM,21.4
NPL,2.3
NLD,6.1
NCL,10.6
NZL,4.1
NIC,4.7
NER,2.2
NGA,4.1
NOR,2.8
#NV,21.4
OMN,4.1
PAK,3.9
PAN,3.2
PNG,2.1
PRY,3.8
PER,2
PHL,4.3
POL,7.6
PRT,12.3
PRI,12.4
QAT,0.1
ROU,5.6
RUS,4.4
RWA,2.4
REU,25.5
LCA,16.1
VCT,15.6
WSM,4
STP,11.7
SAU,3.9
SEN,8.4
SRB,16.4
SLE,2.8
SGP,2.4
SVK,11.8
SVN,8.9
SLB,28.8
SOM,5.8
ZAF,20.8
ESP,22.3
LKA,1.9
SDN,11.1
SUR,5.8
SWZ,17.1
SWE,5.7
CHE,3.9
SYR,8.4
TWN,3.1
TJK,9.3
TZA,1.9
THA,0.4
TLS,3
TGO,6
TON,3.7
TTO,2.6
TUN,11.7
TUR,8.2
TKM,7.7
UGA,2.4
UKR,7.9
ARE,3
GBR,4.3
USA,5
VIR,7.2
URY,4.1
UZB,7.7
VUT,3.1
VEN,5.5
VNM,1.1
YEM,11.1
ZMB,6.4
ZWE,8.7
