iso,value
BLR,36.56
BEL,12.61
BGR,20.12
DNK,11.25
DEU,10.13
EST,21.75
FIN,12.83
FRA,13.48
GRC,18.64
IRL,10.34
ISL,15.13
ITA,14.64
HRV,20.46
LVA,19.23
LTU,24.04
LUX,11.43
MLT,15.24
MDA,26.56
MNE,35.9
NLD,11.41
NOR,11.69
AUT,10.48
POL,18
PRT,18.99
RUS,28.32
SMR,13.35
SWE,12.39
CHE,8.85
SRB,27.03
SVK,17.53
SVN,16.55
ESP,13.67
CZE,16.4
TUR,27.45
UKR,37.53
HUN,19.24
GBR,8.55
CYP,15.83
ETH,55.43
BWA,26.06
BFA,57.3
CIV,48.32
GHA,51.41
CMR,45.81
KEN,49.47
MWI,42.81
MRT,63.23
NAM,26.74
NER,45.12
NGA,47.05
SLE,44.61
ZAF,25.38
SWZ,35.28
BLZ,25.43
BOL,35.7
BRA,16.26
CHL,16.24
DOM,24.93
GTM,42.23
HND,32.66
CAN,9.07
COL,17.35
MEX,23.94
NIC,32.7
PAN,21.87
PER,23.54
VEN,24.03
USA,6.69
AZE,41
BTN,38.54
IND,30.71
IRQ,27.6
IRN,30.05
ISR,16.44
JPN,14.11
YEM,44.01
KGZ,46.43
KOR,13.04
LAO,51.39
LBN,25.3
MYS,22.07
MNG,31.02
SAU,29.44
SGP,7
LKA,33.69
THA,28.46
AUS,9.99
FJI,29.22
NZL,15.09
PNG,11.28
SLB,50.83
