iso,value
AFG,54
ALB,97
DZA,55
AND,47
AGO,42
ARG,70
ARM,100
AUS,115
AUT,98
AZE,99
BHS,57
BHR,15
BGD,46
BRB,67
ATG,66
VGB,66
MSR,66
KNA,66
AIA,66
GRD,66
LCA,66
VCT,66
DMA,66
BLR,98
BEL,69
BLZ,63
BEN,61
BMU,73
BTN,64
BOL,65
BWA,52
BRA,85
BGR,73
BFA,59
MMR,95
BDI,56
KHM,62
CMR,71
CAN,99
CPV,42
CYM,60
CAF,31
TCD,59
CHL,68
CHN,70
COL,63
COM,61
COD,50
COG,54
COK,124
CRI,68
CIV,65
CUB,83
CYP,57
CZE,97
SVK,97
DNK,102
GRL,102
FRO,102
ISL,102
DJI,71
DOM,75
ECU,88
EGY,61
SLV,67
GNQ,54
EST,100
ETH,62
ERI,62
FJI,54
FIN,111
FRA,73
GAB,61
GMB,57
GEO,99
DEU,99
GHA,63
GRC,65
GTM,52
GIN,59
GNB,40
GUY,64
HTI,67
HND,62
HKG,68
HUN,99
IND,70
IDN,72
IRN,54
IRQ,37
IRL,95
IMN,136
ISR,69
ITA,72
JAM,73
JPN,70
JEY,98
JOR,43
KAZ,93
KEN,54
KIR,50
PRK,71
KOR,69
KWT,12
KGZ,99
LAO,59
LVA,100
LBN,60
LSO,52
LBR,71
LBY,66
LIE,33
LTU,99
LUX,98
MDG,58
MWI,56
MYS,60
MDV,85
MLI,61
MLT,70
MHL,38
MRT,56
MUS,61
MEX,70
FSM,38
MDA,77
MCO,55
MNG,93
MAR,54
MOZ,42
NAM,28
NRU,49
NPL,66
NLD,100
NZL,124
NIC,62
NER,69
NGA,59
NOR,104
OMN,14
PAK,70
PLW,38
PAN,71
PNG,53
PRY,56
PER,62
PHL,80
PCN,179
POL,99
PRT,41
PRI,82
QAT,20
ROU,78
RUS,100
RWA,56
WSM,27
SMR,58
STP,42
SEN,72
SYC,69
SLE,56
SGP,70
SLB,43
SOM,61
ZAF,87
ESP,86
LKA,86
SDN,53
SUR,69
SWZ,49
SWE,96
CHE,46
SYR,68
TWN,70
TJK,93
TZA,58
THA,85
TLS,41
TGO,72
TON,57
TTO,72
TUN,60
TUR,83
TKM,93
TUV,50
UGA,55
UKR,98
ARE,11
GBR,89
USA,97
URY,90
UZB,79
VUT,42
VEN,71
VNM,71
YEM,47
ZMB,55
ZWE,98
SRB,72
MNE,72
HRV,72
SVN,72
BIH,72
MKD,72
