iso,value
DZA,140
AGO,477
BEN,405
BWA,129
BFA,371
BDI,712
CMR,596
CPV,42
CAF,882
TCD,856
COM,335
COG,442
CIV,645
COD,693
GNQ,342
ERI,501
ETH,353
GAB,291
GMB,706
GHA,319
GIN,679
GNB,549
KEN,510
LSO,487
LBR,725
MDG,353
MWI,634
MLI,587
MRT,602
MUS,53
MOZ,489
NAM,265
NER,553
NGA,814
RWA,290
STP,156
SEN,315
SLE,1360
ZAF,138
SWZ,389
TGO,368
UGA,343
TZA,398
ZMB,224
ZWE,443
SSD,789
ARG,52
BHS,80
BRB,27
BLZ,28
BOL,206
BRA,44
CAN,7
CHL,22
COL,64
CRI,25
CUB,39
DOM,92
ECU,64
SLV,54
GRD,27
GTM,88
GUY,229
HTI,359
HND,129
JAM,89
MEX,38
NIC,150
PAN,94
PRY,132
PER,68
LCA,48
VCT,45
SUR,155
TTO,63
USA,14
URY,15
VEN,95
BGD,176
BTN,148
PRK,82
IND,174
IDN,126
MDV,68
MMR,178
NPL,258
LKA,30
THA,20
TLS,215
ALB,29
ARM,25
AUT,4
AZE,25
BLR,4
BEL,7
BIH,11
BGR,11
HRV,8
CYP,7
CZE,4
DNK,6
EST,9
FIN,3
FRA,8
GEO,36
DEU,6
GRC,3
HUN,17
ISL,3
IRL,8
ISR,5
ITA,4
KAZ,12
KGZ,76
LVA,18
LTU,10
LUX,10
MLT,9
NLD,7
NOR,5
POL,3
PRT,10
MDA,23
ROU,31
RUS,25
SRB,17
SVK,6
SVN,9
ESP,5
SWE,4
CHE,5
TJK,32
MKD,8
TUR,16
TKM,42
UKR,24
GBR,9
UZB,36
MNE,7
AFG,396
BHR,15
DJI,229
EGY,33
IRN,25
IRQ,50
JOR,58
KWT,4
LBN,15
LBY,9
MAR,121
OMN,17
PAK,178
QAT,13
SAU,12
SOM,732
SDN,311
SYR,68
TUN,62
ARE,6
YEM,385
AUS,6
BRN,23
KHM,161
CHN,27
FJI,30
JPN,5
KIR,90
LAO,197
MYS,40
FSM,100
MNG,44
NZL,11
PNG,215
PHL,114
KOR,11
WSM,51
SGP,10
SLB,114
TON,124
VUT,78
VNM,54
