iso,value
HTI,53.4
ZMB,47.8
CAF,47.7
NAM,42.3
PRK,41.6
TCD,34.4
ZWE,33.4
TJK,33.2
MDG,33.0
TZA,32.1
ETH,32.0
LBR,31.9
RWA,31.6
COG,30.5
TLS,26.9
AFG,26.8
SWZ,26.8
YEM,26.1
UGA,25.5
MOZ,25.3
BWA,24.1
IRQ,22.8
SLE,22.3
PAK,22.0
LKA,22.0
KEN,21.2
MWI,20.7
BFA,20.7
GNB,20.7
MNG,20.5
LAO,18.5
NIC,16.6
BGD,16.4
GIN,16.4
DJI,15.9
BOL,15.9
GTM,15.6
IND,15.2
AGO,14.2
KHM,14.2
MMR,14.2
PHL,13.5
CIV,13.3
SLV,12.4
DOM,12.3
HND,12.2
MDA,12.2
TGO,11.4
LSO,11.2
VNM,11.0
ECU,10.9
GUY,10.6
PRY,10.4
SEN,10.0
CMR,9.9
NER,9.5
PAN,9.5
CHN,9.3
BGR,9.0
COL,8.8
ALB,8.5
JAM,8.1
SUR,8.0
NPL,7.8
IDN,7.6
BEN,7.5
PER,7.5
THA,7.4
GEO,7.4
TTO,7.4
NGA,7.0
SRB,6.9
KGZ,6.0
ARM,5.8
MRT,5.6
GMB,5.3
MUS,4.9
SVK,4.8
FJI,4.5
MAR,4.4
MEX,4.3
UZB,4.2
MLI,4.1
OMN,4.1
CRI,3.8
URY,3.3
TKM,3.2
IRN,3.2
KWT,3.1
LBN,3.0
DZA,2.9
GAB,2.7
KAZ,2.5
CHL,2.5
HRV,2.5
MKD,2.4
GHA,2.3
MYS,2.0
EST,2.0
EGY,1.9
JOR,1.8
ZAF,1.7
AZE,1.7
BRA,1.6
LVA,1.4
LTU,1.4
VEN,1.3
UKR,1.2
SAU,1.2
BIH,0.9
ROU,0.8
CUB,0.8
BLR,0.8
RUS,0.7
TUN,0.4
MNE,0.3
TUR,0.2
ARG,0.2
