iso,value,value_round,value_str
MWI,2.7751,2.8,"2,8"
LSO,1.6089,1.6,"1,6"
SLE,1.4235,1.4,"1,4"
BDI,1.2483,1.2,"1,2"
LBR,1.1836,1.2,"1,2"
HND,1.1836,1.2,"1,2"
TCD,0.6631,0.7,"0,7"
ETH,0.5627,0.6,"0,6"
GIN,0.5543,0.6,"0,6"
SWZ,0.5090,0.5,"0,5"
SSD,0.4559,0.5,"0,5"
GNB,0.4219,0.4,"0,4"
KWT,0.3946,0.4,"0,4"
COG,0.3367,0.3,"0,3"
PAK,0.2975,0.3,"0,3"
NOR,0.2394,0.2,"0,2"
SAU,0.2346,0.2,"0,2"
LUX,0.2009,0.2,"0,2"
DNK,0.1893,0.2,"0,2"
SWE,0.1839,0.2,"0,2"
CAN,0.1685,0.2,"0,2"
GBR,0.1597,0.2,"0,2"
FIN,0.1483,0.1,"0,1"
NLD,0.1352,0.1,"0,1"
CHE,0.1241,0.1,"0,1"
USA,0.1117,0.1,"0,1"
NAM,0.1095,0.1,"0,1"
IRL,0.1044,0.1,"0,1"
DEU,0.0979,0.1,"< 0,1"
ZWE,0.0864,0.1,"< 0,1"
GTM,0.0817,0.1,"< 0,1"
MDG,0.0802,0.1,"< 0,1"
ZMB,0.0712,0.1,"< 0,1"
KHM,0.0680,0.1,"< 0,1"
LIE,0.0602,0.1,"< 0,1"
ISL,0.0581,0.1,"< 0,1"
AUS,0.0541,0.1,"< 0,1"
JPN,0.0449,0.0,"< 0,1"
BEL,0.0374,0.0,"< 0,1"
RUS,0.0366,0.0,"< 0,1"
MCO,0.0339,0.0,"< 0,1"
CMR,0.0321,0.0,"< 0,1"
NZL,0.0278,0.0,"< 0,1"
KOR,0.0271,0.0,"< 0,1"
BGD,0.0212,0.0,"< 0,1"
FRA,0.0169,0.0,"< 0,1"
AUT,0.0161,0.0,"< 0,1"
AND,0.0148,0.0,"< 0,1"
ITA,0.0144,0.0,"< 0,1"
EST,0.0118,0.0,"< 0,1"
BOL,0.0098,0.0,"< 0,1"
KEN,0.0097,0.0,"< 0,1"
ARM,0.0096,0.0,"< 0,1"
IRN,0.0093,0.0,"< 0,1"
COL,0.0084,0.0,"< 0,1"
MLT,0.0081,0.0,"< 0,1"
SLV,0.0077,0.0,"< 0,1"
QAT,0.0076,0.0,"< 0,1"
TZA,0.0074,0.0,"< 0,1"
PAN,0.0072,0.0,"< 0,1"
ESP,0.0064,0.0,"< 0,1"
CZE,0.0061,0.0,"< 0,1"
ARE,0.0058,0.0,"< 0,1"
TGO,0.0042,0.0,"< 0,1"
SVK,0.0038,0.0,"< 0,1"
BRA,0.0034,0.0,"< 0,1"
MYS,0.0034,0.0,"< 0,1"
IRQ,0.0033,0.0,"< 0,1"
HUN,0.0028,0.0,"< 0,1"
BGR,0.0023,0.0,"< 0,1"
POL,0.0021,0.0,"< 0,1"
LVA,0.0021,0.0,"< 0,1"
LTU,0.0019,0.0,"< 0,1"
NIC,0.0016,0.0,"< 0,1"
PER,0.0015,0.0,"< 0,1"
SVN,0.0015,0.0,"< 0,1"
TUR,0.0014,0.0,"< 0,1"
CYP,0.0013,0.0,"< 0,1"
CHL,0.0013,0.0,"< 0,1"
JOR,0.0013,0.0,"< 0,1"
EGY,0.0012,0.0,"< 0,1"
CHN,0.0009,0.0,"< 0,1"
PRT,0.0007,0.0,"< 0,1"
IND,0.0007,0.0,"< 0,1"
ROU,0.0006,0.0,"< 0,1"
THA,0.0003,0.0,"< 0,1"
LKA,0.0002,0.0,"< 0,1"
KAZ,0.0002,0.0,"< 0,1"
ARG,0.0001,0.0,"< 0,1"
ISR,0.0001,0.0,"< 0,1"
