"iso","value"
"AFG",21.6
"ALB",26.5
"DZA",24.3
"ASM",32.2
"AND",27.7
"AGO",22.8
"ATG",27.2
"ARG",27.6
"ARM",25.9
"AUS",27.5
"AUT",26.6
"AZE",26.4
"BHS",27.2
"BHR",24.9
"BGD",20.8
"BRB",26.7
"BLR",26.7
"BEL",26.9
"BLZ",27.3
"BEN",22.5
"BMU",28
"BTN",23.3
"BOL",25
"BIH",25.9
"BWA",22.7
"BRA",25.6
"BRN",25.5
"BGR",26.6
"BFA",22.1
"BDI",20.8
"CPV",24
"KHM",21.8
"CMR",23.5
"CAN",27.4
"CAF",21.5
"TCD",22
"CHL",27.7
"CHN",24.3
"CHN",25.1
"COL",25.5
"COM",23.1
"COG",22.2
"COK",31.5
"CRI",26.5
"CIV",23.3
"HRV",27
"CUB",25.3
"CYP",27.8
"CZE",27.6
"DNK",26
"DJI",22.4
"DMA",24.9
"DOM",25.4
"COD",20.8
"ECU",26.4
"EGY",27.3
"SLV",26.5
"GNQ",24.2
"ERI",20.2
"EST",26.8
"ETH",20.1
"FJI",26.2
"FIN",26.4
"FRA",26.1
"PYF",29.5
"GAB",24.1
"GMB",23.1
"GEO",27
"DEU",27.1
"GHA",23.3
"GRC",27.4
"GRL",26.1
"GRD",25.2
"GTM",25.5
"GIN",22.2
"GNB",22.3
"GUY",25
"HTI",24
"HND",25.5
"HUN",27.4
"ISL",26.8
"IND",21.2
"IDN",22.3
"IRN",25.3
"IRQ",26.9
"IRL",27.8
"ISR",27.1
"ITA",27
"JAM",25.6
"JPN",23.6
"JOR",27.9
"KAZ",27.1
"KEN",22.3
"KIR",28.2
"KWT",28.2
"KGZ",25.6
"LAO",22.3
"LVA",26.8
"LBN",27.6
"LSO",22.7
"LBR",23.2
"LBY",26.4
"LTU",27.4
"LUX",27.5
"MKD",26.3
"MDG",21.2
"MWI",22.3
"MYS",25.1
"MDV",24
"MLI",22.8
"MLT",27.8
"MHL",28.1
"MRT",23.1
"MUS",24.8
"MEX",27.5
"FSM",27.7
"MDA",26.3
"MNG",25.3
"MNE",26.7
"MAR",24.8
"MOZ",21.5
"MMR",22
"NAM",22.8
"NRU",31.6
"NPL",22.7
"NLD",25.9
"NZL",28
"NIC",25.9
"NER",21.3
"NGA",22.7
"NIU",31.2
"PRK",22.3
"NOR",27
"PSE",27.5
"OMN",26
"PAK",23.4
"PLW",29.4
"PAN",26.4
"PNG",24.9
"PRY",26
"PER",25.9
"PHL",23.1
"POL",26.9
"PRT",26.8
"PRI",28.2
"QAT",28.5
"ROU",26.2
"RUS",26.2
"RWA",21.3
"KNA",28.2
"LCA",29.1
"VCT",26.2
"WSM",30.1
"STP",23.9
"SAU",27.5
"SEN",21.8
"SRB",26.3
"SYC",25.5
"SLE",22
"SGP",24.2
"SVK",27.1
"SVN",26.6
"SLB",24.2
"SOM",21.3
"ZAF",24.8
"KOR",24.2
"ESP",27.5
"LKA",22.6
"SDN",23.6
"SUR",26.2
"SWZ",24
"SWE",26.7
"CHE",26.5
"SYR",26.6
"TWN",24.9
"TJK",25.2
"TZA",22.3
"THA",23.5
"TLS",20.3
"TGO",22.5
"TKL",31.5
"TON",30.2
"TTO",27.4
"TUN",25.1
"TUR",26.8
"TKM",26.3
"TUV",29.2
"UGA",21.4
"UKR",26.3
"ARE",27.4
"GBR",27.4
"USA",28.9
"URY",26.8
"UZB",25.8
"VUT",25.3
"VEN",27.3
"VNM",21.2
"YEM",23.4
"ZMB",21.3
"ZWE",22
