"iso","value"
"DZA",84.6
"ATG",78.3
"ARG",83.1
"ARM",76.6
"AUS",83.9
"AUT",75.4
"BHS",84.8
"BRB",81.8
"BEL",82.5
"BLZ",78.9
"BEN",74.1
"BOL",85.9
"BWA",88.1
"BRA",86.7
"BRN",88.1
"BGR",74.1
"KHM",93.4
"CAN",77.3
"CHL",85.2
"CHN",83.8
"COL",85.2
"COK",80.8
"CRI",81.9
"HRV",79.3
"CZE",76.9
"DNK",88.3
"DJI",84.6
"DMA",83.9
"ECU",89.8
"EGY",87.3
"SLV",86.6
"EST",86
"FJI",86.6
"FIN",77
"FRA",88.1
"DEU",83.1
"GHA",87.9
"GRC",85.9
"GRD",84.9
"GTM",84.8
"GUY",84.5
"HND",83.9
"HUN",80.8
"ISL",83.8
"IND",70.5
"IDN",83.7
"IRQ",85.1
"IRL",71.6
"ISR",84.6
"ITA",91.8
"JOR",85.2
"KEN",87.4
"KIR",82.2
"KWT",84.9
"LVA",79.7
"LBN",76.7
"LBY",84
"LTU",83.4
"LUX",77.6
"MYS",85.8
"MDV",80
"MLT",81.4
"MRT",88
"MUS",81.1
"MNG",74.7
"MAR",86.6
"MMR",83.8
"NAM",86
"NRU",88.6
"NLD",81.1
"NIU",89
"NOR",85
"OMN",84.7
"PAK",88.2
"PLW",76.3
"PER",84.9
"PHL",90.8
"POL",79.6
"PRT",86.7
"QAT",90.1
"KOR",94.8
"ROU",80.7
"RUS",87.5
"KNA",82.2
"LCA",84.8
"VCT",86.6
"WSM",87.8
"SEN",89.2
"SYC",82.1
"SGP",89.9
"SVK",77.4
"SVN",79.8
"SLB",83.2
"ESP",77.2
"LKA",85.9
"SDN",91.9
"SUR",80.9
"SWE",86.1
"CHE",88
"SYR",89.6
"THA",84.4
"MKD",77.1
"TON",86.1
"TTO",81.5
"TUN",81.4
"TUR",82.2
"TUV",88.3
"UGA",85.6
"UKR",77.2
"ARE",82.6
"GBR",79
"TZA",80.4
"USA",72.6
"URY",84.2
"VUT",89.2
"VEN",91.8
"VNM",86.7
"YEM",84.3
"ZMB",90.1
"ZWE",87.2
