"iso","value"
"ALB",0.5
"MDG",87.7
"LBR",83.8
"ZMB",74.3
"MWI",72.2
"RWA",63
"CAF",62.8
"NGA",62
"MOZ",60.7
"SLE",56.6
"LSO",56.2
"TGO",52.5
"BEN",51.6
"MLI",50.6
"BFA",44.5
"STP",43.5
"TZA",43.5
"AGO",43.4
"BGD",43.3
"GIN",40.9
"NER",40.8
"SWZ",39.3
"UGA",37.8
"ETH",36.8
"TCD",36.5
"CIV",35
"TLS",34.9
"SEN",34.1
"COG",32.8
"LAO",30.3
"CMR",27.6
"NPL",23.7
"IND",23.6
"NAM",23.5
"MRT",23.4
"SDN",19.8
"PHL",19
"HND",16.5
"IDN",16.2
"GEO",14.1
"CPV",13.7
"GTM",13.7
"BWA",13.4
"PAK",12.7
"KHM",10.1
"ZAF",9.4
"NIC",8.5
"BOL",8
"TJK",6.5
"CHN",6.3
"FJI",5.9
"COL",5.6
"KGZ",5.1
"LKA",4.1
"PAN",4
"ECU",4
"IRQ",3.9
"BRA",3.8
"PRY",3
"PER",2.9
"MAR",2.6
"SLV",2.5
"VNM",2.4
"BTN",2.4
"DOM",2.3
"BGR",1.9
"ARM",1.8
"EGY",1.7
"ARG",1.4
"CRI",1.4
"LVA",1.1
"MEX",1
"EST",1
"CHL",0.8
"LTU",0.8
"TUN",0.7
