"iso","value"
"AFG",35.8
"ALB",14.3
"ARM",32
"AZE",5.3
"BGD",31.5
"BLR",5.5
"BEN",36.2
"BTN",12
"BOL",45
"BIH",17.9
"BWA",19.3
"BRA",8.9
"BGR",21
"BFA",46.7
"KHM",17.7
"TCD",46.7
"CHL",14.4
"COL",30.6
"COG",46.5
"CRI",22.4
"HRV",19.5
"CZE",8.6
"COD",63.6
"DOM",41.1
"ECU",22.5
"EGY",25.2
"SLV",29.6
"EST",18.6
"ETH",29.6
"GMB",48.4
"GEO",14.8
"GHA",24.2
"GTM",53.7
"GIN",55.2
"GNB",69.3
"HTI",58.5
"HND",64.5
"HUN",14.3
"IND",21.9
"IDN",11.3
"IRQ",18.9
"JAM",19.9
"JOR",14.4
"KAZ",2.9
"KGZ",37
"LAO",23.2
"LVA",19.4
"LSO",57.1
"LTU",20.6
"MDG",75.3
"MWI",50.7
"MYS",1.7
"MLI",43.6
"MEX",52.3
"MNG",27.4
"MNE",11.3
"MOZ",54.7
"NAM",28.7
"NPL",25.2
"NIC",42.5
"NER",48.9
"NGA",46
"PAN",25.8
"PNG",39.9
"PRY",23.8
"PER",23.9
"PHL",25.2
"POL",17.3
"MDA",12.7
"ROU",22.4
"RUS",10.8
"RWA",44.9
"STP",61.7
"SEN",46.7
"SRB",24.6
"SLE",52.9
"SVK",12.8
"SVN",14.5
"ZAF",53.8
"SSD",50.6
"LKA",6.7
"PSE",25.8
"SDN",46.5
"SWZ",63
"TJK",47.2
"THA",12.6
"MKD",27.1
"TGO",58.7
"TUN",15.5
"TUR",2.3
"UGA",19.5
"UKR",8.4
"TZA",28.2
"URY",11.5
"UZB",16
"VEN",25.4
"VNM",17.2
"ZMB",60.5
"ZWE",72.3
