iso,value
HND,74.6
SLV,64.2
VEN,62.0
VIR,52.6
LSO,38.0
JAM,36.1
BLZ,34.4
KNA,33.6
ZAF,33.0
GTM,31.2
BHS,29.8
COL,27.9
TTO,25.9
VCT,25.6
BRA,24.6
LCA,21.6
GUY,20.4
TUV,20.3
PRI,18.5
SWZ,17.4
DOM,17.4
PAN,17.4
NAM,16.9
MEX,15.7
BWA,14.8
SSD,13.9
CAF,13.2
COD,12.5
BOL,12.4
UGA,11.8
NIC,11.5
CIV,11.4
MRT,11.4
ATG,11.2
CPV,10.6
COG,10.5
PNG,10.4
MLI,10.2
NGA,10.1
HTI,10.0
CRI,10
GNB,9.9
PHL,9.9
AGO,9.8
ERI,9.7
SUR,9.5
RUS,9.5
GAB,9.4
GMB,9.4
TCD,9.2
TGO,9.2
BRB,8.8
PRY,8.8
GIN,8.7
DMA,8.4
ECU,8.2
ETH,8.0
TZA,7.9
SEN,7.9
IRQ,7.9
COM,7.8
URY,7.8
PAK,7.8
ARG,7.6
GRD,7.5
MNG,7.5
KIR,7.5
KAZ,7.4
LAO,7.3
QAT,7.2
DJI,7.0
ZWE,6.7
PER,6.7
YEM,6.7
AFG,6.6
SDN,6.5
BEN,6.3
SAU,6.2
KEN,5.9
ZMB,5.8
SOM,5.6
LTU,5.5
RWA,4.9
BMU,4.8
IRN,4.8
FSM,4.8
CUB,4.7
PRK,4.7
MHL,4.7
NER,4.5
UKR,4.4
TKM,4.3
LBN,4.3
TUR,4.3
BDI,4.0
ALB,4.0
ABW,3.9
USA,3.9
THA,3.9
LVA,3.9
KGZ,3.7
TLS,3.7
MOZ,3.6
CHL,3.6
BLR,3.6
GNQ,3.4
STP,3.4
EGY,3.2
LBR,3.2
UZB,3.2
IND,3.2
MDA,3.2
MNE,3.2
WSM,3.2
TUN,3.1
EST,3.1
PLW,3.1
COK,3.1
NIU,3.1
TWN,3.0
FJI,3.0
NPL,2.9
LKA,2.9
VUT,2.9
BGD,2.8
MUS,2.7
CMR,2.7
BTN,2.7
GEO,2.7
LIE,2.7
LBY,2.5
MMR,2.5
AZE,2.5
GUM,2.5
JOR,2.3
SYR,2.2
SYC,2.1
ARM,2.0
SLE,1.9
MYS,1.9
MWI,1.8
GRL,1.8
KHM,1.8
KWT,1.8
BEL,1.8
GHA,1.7
ISR,1.7
BGR,1.6
FIN,1.6
MKD,1.6
DZA,1.5
VNM,1.5
HUN,1.5
ROU,1.5
CAN,1.4
TJK,1.4
MLT,1.4
BIH,1.3
SRB,1.3
NRU,1.3
FRA,1.2
OMN,1.1
SVK,1.1
IRL,1.1
MAR,1.0
MAC,1.0
DNK,1.0
AUS,1.0
HKG,0.9
MDV,0.9
SWE,0.9
GBR,0.9
PRT,0.9
DEU,0.9
NZL,0.9
CHN,0.8
HRV,0.8
ITA,0.8
BFA,0.7
KOR,0.7
ARE,0.7
CZE,0.7
POL,0.7
SVN,0.7
ESP,0.7
LUX,0.7
NLD,0.7
MDG,0.6
NOR,0.6
BRN,0.5
IDN,0.5
BHR,0.5
AUT,0.5
CHE,0.5
JPN,0.3
SGP,0.3
ISL,0.3
CYP,0.1
GRC,0.1
TON,0.1
AND,0.0
