iso,value
ISL,1.19
DNK,1.25
AUT,1.28
NZL,1.29
PRT,1.36
CZE,1.36
CHE,1.37
CAN,1.39
JPN,1.40
SVN,1.41
FIN,1.43
IRL,1.43
BTN,1.45
SWE,1.46
AUS,1.47
DEU,1.49
NOR,1.50
BEL,1.53
HUN,1.53
SGP,1.54
NLD,1.54
POL,1.56
MUS,1.56
SVK,1.60
ESP,1.60
HRV,1.63
CHL,1.64
BWA,1.64
BGR,1.65
MYS,1.65
ROU,1.65
LVA,1.68
CRI,1.70
QAT,1.72
URY,1.73
EST,1.73
LTU,1.74
MDG,1.76
ITA,1.77
ZMB,1.78
TWN,1.79
IDN,1.80
SLE,1.81
GHA,1.81
MWI,1.82
FRA,1.83
GBR,1.83
SRB,1.83
PAN,1.84
MNG,1.84
KWT,1.84
LAO,1.85
KOR,1.86
ALB,1.87
NAM,1.87
TLS,1.88
MNE,1.88
TZA,1.90
VNM,1.91
BIH,1.92
ARE,1.93
GNQ,1.94
LSO,1.94
TUN,1.95
MDA,1.95
TGO,1.95
ARG,1.96
MOZ,1.96
NIC,1.98
SEN,1.98
CYP,1.99
BEN,2.00
LBR,2.00
OMN,2.02
KAZ,2.02
ECU,2.02
KSV,2.02
NPL,2.03
GAB,2.03
PRY,2.04
BOL,2.04
GRC,2.04
BGD,2.05
TTO,2.06
CUB,2.06
PER,2.06
GEO,2.06
BFA,2.06
HTI,2.07
SWZ,2.07
MAR,2.09
JAM,2.09
GMB,2.09
MKD,2.09
GUY,2.11
JOR,2.13
LKA,2.13
AGO,2.14
PNG,2.14
DOM,2.14
UGA,2.15
GIN,2.15
USA,2.15
KHM,2.16
BRA,2.18
BLR,2.20
TKM,2.20
DZA,2.21
UZB,2.22
ARM,2.22
HND,2.24
SLV,2.24
NER,2.24
COG,2.25
MMR,2.26
GNB,2.26
GTM,2.27
CIV,2.28
ETH,2.28
CHN,2.29
DJI,2.29
TJK,2.29
MRT,2.30
KGZ,2.30
THA,2.31
ZAF,2.32
ZWE,2.32
RWA,2.32
SAU,2.34
CMR,2.36
KEN,2.38
BHR,2.40
IRN,2.41
AZE,2.45
ERI,2.46
TCD,2.46
MLI,2.49
BDI,2.50
PHL,2.51
MEX,2.56
IND,2.57
EGY,2.57
VEN,2.65
ISR,2.66
TUR,2.71
LBN,2.75
COL,2.76
NGA,2.88
PRK,2.94
RUS,3.08
COD,3.11
PAK,3.15
LBY,3.20
SDN,3.27
UKR,3.29
CAF,3.35
YEM,3.40
SOM,3.41
AFG,3.54
IRQ,3.57
SSD,3.59
SYR,3.81
