iso,value
TUR,1.693686
PAK,1.511037
LBN,1.161439
IRN,0.982067
JOR,0.672862
ETH,0.663615
KEN,0.585327
ZAF,0.575987
USA,0.454946
TCD,0.45466
DEU,0.443037
UGA,0.420946
FRA,0.308042
CHN,0.301484
AFG,0.300474
SDN,0.288005
IRQ,0.279585
CMR,0.275838
YEM,0.266291
EGY,0.261605
SSD,0.248275
RUS,0.23875
BGD,0.232477
IND,0.204962
SWE,0.196037
VEN,0.173926
CAN,0.165745
GBR,0.153387
SYR,0.151834
MYS,0.150528
ITA,0.139337
THA,0.138095
ECU,0.133662
COD,0.120914
DZA,0.098957
TZA,0.089375
NLD,0.089321
AUT,0.085269
CHE,0.083328
NER,0.077919
MRT,0.076016
RWA,0.07403
COG,0.058019
AUS,0.056911
BDI,0.055972
NOR,0.054074
AGO,0.045658
ISR,0.045236
SRB,0.044138
GRC,0.042143
BEL,0.039023
NPL,0.038614
LBR,0.0386
LBY,0.036835
BFA,0.032085
ZMB,0.027735
DJI,0.024332
TGO,0.022468
CRI,0.022437
DNK,0.021982
GHA,0.021062
MWI,0.02036
PAN,0.018601
BRA,0.018553
HUN,0.018448
POL,0.01833
MOZ,0.017835
BGR,0.017711
ARM,0.017691
SEN,0.017148
MLI,0.015811
FIN,0.013392
ESP,0.013185
SOM,0.011969
JPN,0.011826
GMB,0.011601
IDN,0.011159
IRL,0.01036
PNG,0.009896
UKR,0.009029
GIN,0.009021
GNB,0.00879
CAF,0.00809
CYP,0.007498
BIH,0.00688
ZWE,0.006703
MNE,0.00651
MLT,0.006206
MEX,0.004612
KOR,0.004595
ARG,0.004249
CZE,0.003508
MAR,0.003007
ERI,0.002898
GAB,0.002861
BWA,0.002832
NAM,0.002551
CIV,0.002543
ROU,0.002447
MKD,0.002387
CHL,0.00229
LUX,0.002266
TJK,0.002139
GEO,0.002064
NGA,0.00206
AZE,0.001682
KWT,0.00164
PER,0.001599
NZL,0.001502
LKA,0.001438
SLE,0.001378
DOM,0.001341
BLR,0.001168
TUN,0.001102
NRU,0.001101
LTU,0.001091
SVK,0.000991
PRT,0.000926
HRV,0.000769
SWZ,0.000762
BOL,0.000747
KAZ,0.000714
KGZ,0.000675
SAU,0.000648
ARE,0.000621
ALB,0.000558
BEN,0.000462
MDA,0.000412
LVA,0.000393
OMN,0.000377
BHR,0.000349
NIC,0.00033
COL,0.000325
URY,0.00028
CUB,0.000277
SVN,0.000277
PHL,0.000274
ISL,0.000268
GTM,0.000257
QAT,0.000218
PRY,0.000158
TTO,0.000144
LIE,0.000143
CHN,0.00013
EST,0.000126
BLZ,0.000124
UZB,0.000123
KHM,0.000087
CUW,0.000074
LSO,0.000038
TKM,0.000034
MCO,0.000033
HND,0.000027
SLV,0.000023
BHS,0.000021
JAM,0.000018
FJI,0.000013
GUY,0.000007
MDG,0.000006
SXM,0.000005
MNG,0.000005
