iso,value
TUR,169.3686
PAK,151.1037
LBN,116.1439
IRN,98.2067
JOR,67.2862
ETH,66.3615
KEN,58.5327
ZAF,57.5987
USA,45.4946
TCD,45.4660
DEU,44.3037
UGA,42.0946
FRA,30.8042
CHN,30.1484
AFG,30.0474
SDN,28.8005
IRQ,27.9585
CMR,27.5838
YEM,26.6291
EGY,26.1605
SSD,24.8275
RUS,23.8750
BGD,23.2477
IND,20.4962
SWE,19.6037
VEN,17.3926
CAN,16.5745
GBR,15.3387
SYR,15.1834
MYS,15.0528
ITA,13.9337
THA,13.8095
ECU,13.3662
COD,12.0914
DZA,9.8957
TZA,8.9375
NLD,8.9321
AUT,8.5269
CHE,8.3328
NER,7.7919
MRT,7.6016
RWA,7.4030
COG,5.8019
AUS,5.6911
BDI,5.5972
NOR,5.4074
AGO,4.5658
ISR,4.5236
SRB,4.4138
GRC,4.2143
BEL,3.9023
NPL,3.8614
LBR,3.8600
LBY,3.6835
BFA,3.2085
ZMB,2.7735
DJI,2.4332
TGO,2.2468
CRI,2.2437
DNK,2.1982
GHA,2.1062
MWI,2.0360
PAN,1.8601
BRA,1.8553
HUN,1.8448
POL,1.8330
MOZ,1.7835
BGR,1.7711
ARM,1.7691
SEN,1.7148
MLI,1.5811
FIN,1.3392
ESP,1.3185
SOM,1.1969
JPN,1.1826
GMB,1.1601
IDN,1.1159
IRL,1.0360
PNG,0.9896
UKR,0.9029
GIN,0.9021
GNB,0.8790
CAF,0.8090
CYP,0.7498
BIH,0.6880
ZWE,0.6703
MNE,0.6510
MLT,0.6206
MEX,0.4612
KOR,0.4595
ARG,0.4249
CZE,0.3508
MAR,0.3007
ERI,0.2898
GAB,0.2861
BWA,0.2832
NAM,0.2551
CIV,0.2543
ROU,0.2447
MKD,0.2387
CHL,0.2290
LUX,0.2266
TJK,0.2139
GEO,0.2064
NGA,0.2060
AZE,0.1682
KWT,0.1640
PER,0.1599
NZL,0.1502
LKA,0.1438
SLE,0.1378
DOM,0.1341
BLR,0.1168
TUN,0.1102
NRU,0.1101
LTU,0.1091
SVK,0.0991
PRT,0.0926
HRV,0.0769
SWZ,0.0762
BOL,0.0747
KAZ,0.0714
KGZ,0.0675
SAU,0.0648
ARE,0.0621
ALB,0.0558
BEN,0.0462
MDA,0.0412
LVA,0.0393
OMN,0.0377
BHR,0.0349
NIC,0.0330
COL,0.0325
URY,0.0280
CUB,0ƒ0277
SVN,0.0277
PHL,0.0274
ISL,0.0268
GTM,0.0257
QAT,0.0218
PRY,0.0158
TTO,0.0144
LIE,0.0143
CHN,0.0130
EST,0.0126
BLZ,0.0124
UZB,0.0123
KHM,0.0087
CUW,0.0074
LSO,0.0038
TKM,0.0034
MCO,0.0033
HND,0.0027
SLV,0.0023
BHS,0.0021
JAM,0.0018
FJI,0.0013
GUY,0.0007
MDG,0.0006
SXM,0.0005
MNG,0.0005
