iso;value
AFG ;1.13
ALB ;0.29
DZA ;0.63
AGO ;0.64
ARG ;0.40
ARM ;0.47
AUS ;0.02
AUT ;0.02
AZE ;0.47
BHR ;0.47
BGD ;0.95
BRB ;0.21
BLR ;0.47
BEL ;0.02
BEN ;0.29
BOL ;0.44
BIH ;0.47
BWA ;0.52
BRA ;0.08
BRN;0.81
BGR ;0.40
BFA ;0.64
BDI ;0.64
KHM ;1.65
CMR ;0.63
CAN ;0.02
CPV ;0.45
CAF ;1.13
TCD ;0.64
CHL ;0.15
CHN ;0.25
COL ;0.64
CRI ;0.40
HRV ;0.40
CUB ;0.33
CYP ;0.40
CZE ;0.40
COD ;1.13
DNK ;0.02
DJI ;0.52
DOM ;1.00
ECU ;0.40
EGY ;0.63
SLV ;0.29
GNQ ;0.29
ERI ;0.67
EST ;0.40
ETH ;0.41
FIN ;0.12
FRA ;0.02
GAB ;0.29
GMB ;0.88
GEO ;0.47
DEU ;0.02
GHA ;0.38
GRC ;0.40
GTM ;0.84
GIN ;0.64
GNB ;0.62
GUY ;0.62
HTI ;1.00
HND ;0.29
HKG;0.40
HUN ;0.23
ISL ;0.12
IND ;1.40
IDN ;0.29
IRN;0.63
IRQ ;1.13
IRL ;0.02
ISR ;0.14
ITA ;0.21
CIV;0.64
JAM ;0.21
JPN ;0.23
JOR ;0.64
KAZ ;0.47
KEN ;0.41
KWT ;0.47
KGZ ;0.47
LAO;0.29
LVA ;0.40
LBN ;0.63
LSO ;0.67
LBR ;0.64
LBY;1.13
LTU ;0.40
LUX ;0.02
MKD;0.64
MDG ;0.67
MWI ;0.67
MYS ;0.43
MLI ;0.63
MRT ;1.06
MUS ;0.17
MEX ;0.30
MDA;0.29
MNG ;0.29
MNE;0.40
MAR ;0.64
MOZ ;0.52
MMR ;0.96
NAM ;0.67
NPL ;0.82
NLD ;0.10
NZL ;0.02
NIC ;0.40
NER ;0.64
NGA ;0.48
PRK;4.37
NOR ;0.02
OMN ;0.29
PAK ;1.13
PAN ;0.40
PNG ;0.62
PRY ;0.40
PER ;0.64
PHL ;0.40
POL ;0.48
PRT ;0.12
QAT ;1.36
COG;0.64
ROM ;0.40
RUS;0.73
RWA ;0.64
SAU ;0.29
SEN ;0.52
SRB;0.40
SLE ;0.67
SGP ;0.17
SVK ;0.23
SVN ;0.23
SOM ;1.13
ZAF ;0.45
KOR;0.40
SSD;1.13
ESP ;0.02
LKA ;0.22
SDN ;1.13
SUR ;0.45
SWZ ;0.67
SWE ;0.02
CHE ;0.02
SYR;1.13
TWN;0.23
TJK ;0.64
TZA;0.64
THA ;0.63
TMP;0.29
TGO ;0.64
TTO ;0.45
TUN ;0.77
TUR ;0.63
TKM ;0.29
UGA ;0.63
UKR ;0.47
ARE ;0.40
GBR ;0.02
USA ;0.02
URY ;0.23
UZB ;3.97
VEN ;0.64
VNM;0.15
YEM ;1.13
ZMB ;0.67
ZWE ;0.64
