iso,values
ESP,12594943
TUR,7224103
ITA,6582773
GBR,6579413
USA,6375173
FRA,3290413
AUT,3185718
CHE,2844848
GRC,2750129
PRT,1973511
POL,1883540
RUS,1765329
CHN,1753616
SWE,1651128
EGY,1296406
DNK,1274616
NLD,1160913
CAN,1125181
ROU,1044191
NOR,977985
IRL,953888
IND,926739
JPN,910322
ARE,909102
FIN,850859
HRV,834672
HUN,792550
THA,779434
BGR,769660
BEL,730387
ISR,702494
BRA,564940
CZE,561045
ZAF,486735
KOR,468255
MAR,443307
UKR,424730
MEX,412336
DOM,370161
TUN,362641
LVA,360985
MLT,338883
SGP,327591
SRB,313710
IRN,267216
AUS,261623
SAU,256322
LTU,246446
CUB,236955
KSV,233748
EST,214647
ISL,204197
CYP,197731
LUX,191207
VNM,185265
LBN,184008
IDN,167589
ARG,160510
KAZ,155484
LKA,146688
TWN,139787
MKD,132770
MYS,130224
BIH,126670
NGA,125952
KWT,119246
COL,110032
MDV,107549
NAM,105869
SVN,105219
JOR,104187
QAT,98314
PHL,89690
BLR,87652
MUS,87601
ALB,85799
GEO,79104
OMN,74245
KEN,72942
DZA,68694
IRQ,68055
ETH,65145
CHL,64298
GHA,62518
NZL,62429
MDA,56835
TZA,53367
PER,51755
CPV,51714
AZE,51613
PAK,46945
CRI,46918
JAM,41020
SYC,39614
BHR,39233
VEN,36874
ANT,34386
PAN,31398
MNE,29492
BRB,28678
AGO,27453
AFG,23346
ECU,22876
ARM,22463
NPL,21709
SVK,21378
UZB,21139
KGZ,17817
MMR,17222
MNG,16711
PRI,16171
CMR,14260
UGA,13134
BGD,12893
KHM,12108
GNQ,11132
GLP,10784
ZWE,10003
MOZ,9843
URY,9501
ZMB,8945
TKM,8919
PRY,8678
TTO,8603
SEN,8546
GTM,7883
TGO,6766
MWI,6550
BOL,6130
CIV,5923
SDN,5757
REU,5692
NIC,5660
BWA,5460
TJK,5399
BHS,5360
MTQ,5299
RWA,5214
LAO,5078
GMB,4529
SLV,4402
COD,4225
ERI,4145
DJI,3588
BEN,3289
MDG,3125
GRD,3077
BFA,2967
GRL,2627
MLI,2553
ATG,2473
LCA,2342
GIN,2118
COG,1641
NER,1571
GAB,1506
MRT,1485
FRO,1449
SLE,1407
SSD,1378
SOM,1230
BRN,1225
NCL,1202
LBR,1196
YEM,1068
HND,1023
TCD,976
PYF,976
BMU,971
BDI,693
CYM,669
VIR,537
PLW,511
LSO,471
MAC,452
GIB,411
SUR,402
PNG,375
LBY,328
TCA,286
FJI,257
HTI,248
GUY,236
BLZ,234
GUM,217
STP,210
TLS,208
GUY,168
CAF,160
GNB,121
PRK,105
KNA,99
MCO,80
VCT,66
DMA,56
BTN,49
VGB,44
MNP,43
FLK,19
SPM,16
WSM,11
SYR,10
MYT,6
TON,5
COM,3
VUT,3
SWZ,1
SLB,1
