iso;value
HKG;11.70
LUX;2.72
MAC;2.66
HUN;1.65
SWE;1.64
SGP;1.62
FIN;1.59
CHE;1.51
DNK;1.51
POL;1.45
ALB;1.43
IRL;1.43
CYP;1.37
SWZ;1.31
AUT;1.29
SVN;1.28
ROU;1.24
ISL;1.22
EST;1.08
NLD;1.06
DEU;1.03
BEL;0.96
CAN;0.94
MLT;0.94
GBR;0.93
OMN;0.79
GEO;0.77
URY;0.70
LVA;0.68
ISR;0.65
HRV;0.65
SAU;0.64
SYC;0.62
LTU;0.61
KAZ;0.59
BGR;0.58
GRC;0.53
NZL;0.51
CZE;0.50
UKR;0.50
LAO;0.50
NCL;0.48
ITA;0.48
AZE;0.44
FRA;0.43
ARM;0.40
SVK;0.39
AUS;0.39
KOR;0.32
RUS;0.32
PYF;0.28
ESP;0.25
SLV;0.25
KGZ;0.25
WSM;0.22
PRI;0.22
USA;0.21
MUS;0.20
PAN;0.18
CHL;0.18
CRI;0.17
JOR;0.17
NIC;0.16
ARG;0.15
MEX;0.15
JPN;0.13
PRT;0.13
TUR;0.10
VUT;0.10
IRN;0.10
ZAF;0.10
THA;0.10
BOL;0.09
COL;0.08
ECU;0.08
GTM;0.08
PER;0.08
BLR;0.08
DZA;0.07
CHN;0.07
PRY;0.07
HND;0.07
EGY;0.07
LKA;0.06
KHM;0.06
MAR;0.05
ZWE;0.05
VEN;0.05
DOM;0.05
MDA;0.04
BRA;0.04
COG;0.04
NPL;0.03
IDN;0.03
CUB;0.03
SLE;0.01
IND;0.01
UGA;0.01
BGD;0.01
TCD;0.01
TJK;0.00
