iso,value
ABW,98
AFG,55
AGO,49
AIA,95
ALB,95
AND,100
ARE,100
ARG,99
ARM,100
ASM,100
ATG,98
AUS,100
AUT,100
AZE,87
BDI,76
BEL,100
BEN,78
BFA,82
BGD,87
BGR,99
BHR,100
BHS,98
BIH,100
BLR,100
BLZ,100
BOL,90
BRA,98
BRB,100
BTN,100
BWA,96
CAF,68
CAN,100
CHE,100
CHL,99
CHN,95
CIV,82
CMR,76
COD,52
COG,76
COK,100
COL,91
COM,90
CPV,92
CRI,98
CUB,95
CYM,97
CYP,100
CZE,100
DEU,100
DJI,90
DMA,94
DNK,100
DOM,85
DZA,84
ECU,87
EGY,99
ERI,58
ESP,100
EST,100
ETH,57
FIN,100
FJI,96
FRA,100
FSM,89
GAB,93
GBR,100
GEO,100
GHA,89
GIN,77
GLP,99
GMB,90
GNB,79
GNQ,48
GRC,100
GRD,97
GRL,100
GTM,93
GUF,91
GUM,100
GUY,98
HND,91
HRV,100
HTI,58
HUN,100
IDN,87
IND,94
IRL,98
IRN,96
IRQ,87
ISL,100
ISR,100
ITA,100
JAM,94
JOR,97
JPN,100
KAZ,93
KEN,63
KGZ,90
KHM,76
KIR,67
KNA,98
KOR,98
KWT,99
LAO,76
LBN,99
LBR,76
LBY,71
LCA,96
LKA,96
LSO,82
LTU,97
LUX,100
LVA,99
MAR,85
MCO,100
MDA,88
MDG,52
MDV,99
MEX,96
MHL,95
MKD,99
MLI,77
MLT,100
MMR,81
MNE,100
MNG,64
MNP,98
MOZ,51
MRT,58
MSR,99
MTQ,100
MUS,100
MWI,90
MYS,98
NAM,91
NCL,98
NER,58
NGA,69
NIC,87
NIU,99
NLD,100
NOR,100
NPL,92
NRU,97
NZL,100
OMN,93
PAK,91
PAN,95
PER,87
PHL,92
PLW,95
PNG,40
POL,98
PRI,94
PRK,100
PRT,100
PRY,98
PSE,58
PYF,100
QAT,100
REU,99
ROU,100
RUS,97
RWA,76
SAU,97
SDN,56
SEN,79
SGP,100
SLB,81
SLE,63
SLV,94
SOM,32
SRB,99
SSD,59
STP,97
SUR,95
SVK,100
SVN,100
SWE,100
SWZ,74
SYC,96
SYR,90
TCA,87
TCD,51
TGO,63
THA,98
TJK,74
TKL,100
TKM,60
TLS,72
TON,100
TTO,95
TUN,98
TUR,100
TUV,98
TZA,56
UGA,79
UKR,96
URY,100
USA,99
UZB,87
VCT,95
VEN,93
VGB,95
VIR,100
VNM,98
VUT,94
WSM,99
YEM,55
ZAF,93
ZMB,65
ZWE,77
