iso,value
ABW,98
AFG,32
AGO,52
AIA,98
ALB,93
AND,100
ARE,98
ARG,96
ARM,89
ASM,62
ATG,91
AUS,100
AUT,100
AZE,89
BDI,48
BEL,99
BEN,20
BFA,20
BGD,61
BGR,86
BHR,99
BHS,92
BIH,95
BLR,94
BLZ,91
BOL,50
BRA,83
BRB,96
BTN,50
BWA,63
CAF,22
CAN,100
CHE,100
CHL,99
CHN,76
CIV,22
CMR,46
COD,29
COG,15
COK,98
COL,81
COM,36
CPV,72
CRI,95
CUB,93
CYM,96
CYP,100
CZE,99
DEU,99
DJI,47
DMA,81
DNK,100
DOM,84
DZA,88
ECU,85
EGY,95
ERI,16
ESP,100
EST,97
ETH,28
FIN,98
FJI,91
FRA,99
FSM,57
GAB,42
GBR,99
GEO,86
GHA,15
GIN,20
GLP,97
GMB,59
GNB,21
GNQ,75
GRC,99
GRD,98
GRL,100
GTM,64
GUF,92
GUM,90
GUY,84
HND,83
HRV,97
HTI,28
HUN,98
IDN,61
IND,40
IRL,90
IRN,90
IRQ,86
ISL,99
ISR,100
ITA,100
JAM,82
JOR,99
JPN,100
KAZ,98
KEN,30
KGZ,93
KHM,42
KIR,40
KNA,87
KOR,100
KWT,100
LAO,71
LBN,81
LBR,17
LBY,97
LCA,91
LKA,95
LSO,30
LTU,92
LUX,98
LVA,88
MAR,77
MCO,100
MDA,76
MDG,12
MDV,98
MEX,85
MHL,77
MKD,91
MLI,25
MLT,100
MMR,80
MNE,96
MNG,60
MNP,80
MOZ,21
MRT,40
MSR,83
MTQ,92
MUS,93
MWI,41
MYS,96
NAM,34
NCL,100
NER,11
NGA,29
NIC,68
NIU,100
NLD,98
NOR,98
NPL,46
NRU,66
OMN,97
PAK,64
PAN,75
PER,76
PHL,74
PLW,100
PNG,19
POL,97
PRI,99
PRK,82
PRT,100
PRY,89
PSE,92
PYF,98
QAT,98
REU,98
ROU,79
RUS,72
RWA,62
SAU,100
SDN,24
SEN,48
SGP,100
SLB,30
SLE,13
SLV,75
SOM,24
SRB,96
SSD,7
STP,35
SUR,79
SVK,99
SVN,99
SWE,99
SWZ,57
SYC,98
SYR,96
TCA,81
TCD,12
TGO,12
THA,93
TJK,95
TKL,90
TKM,63
TLS,41
TON,91
TTO,92
TUN,92
TUR,95
TUV,83
TZA,16
UGA,19
UKR,96
URY,96
USA,100
UZB,100
VCT,76
VEN,94
VGB,98
VIR,96
VNM,78
VUT,58
WSM,91
YEM,53
ZAF,66
ZMB,44
ZWE,37
