iso,value
AFG,35
AGO,111
ALB,0
ARE,0
ARG,1
ARM,1
AUS,0
AUT,0
AZE,2
BDI,68
BEL,1
BEN,32
BFA,41
BGD,6
BGR,0
BHR,0
BHS,0
BIH,0
BLR,0
BLZ,1
BOL,7
BRA,1
BRB,0
BRN,0
BTN,7
BWA,9
CAF,102
CAN,1
CHE,0
CHL,0
CHN,0
CIV,44
CMR,41
COD,108
COG,48
COL,1
COM,29
CPV,5
CRI,1
CUB,1
CYP,0
CZE,1
DEU,1
DJI,26
DNK,1
DOM,2
DZA,2
ECU,2
EGY,2
ERI,35
ESP,0
EST,0
ETH,30
FIN,0
FJI,3
FRA,1
GAB,28
GBR,0
GEO,0
GHA,20
GIN,41
GMB,21
GNB,49
GNQ,57
GRC,0
GTM,9
GUY,4
HND,8
HRV,0
HTI,29
HUN,0
IDN,4
IND,27
IRL,0
IRN,1
IRQ,4
ISL,0
ISR,1
ITA,0
JAM,2
JOR,1
JPN,0
KAZ,1
KEN,33
KGZ,2
KHM,6
KOR,0
KWT,0
LAO,14
LBN,0
LBR,25
LBY,1
LKA,3
LSO,28
LTU,0
LUX,0
LVA,0
MAR,3
MDA,0
MDG,27
MDV,1
MEX,1
MKD,0
MLI,61
MLT,0
MMR,10
MNE,0
MNG,3
MOZ,38
MRT,29
MUS,1
MWI,26
MYS,0
NAM,10
NER,69
NGA,51
NIC,4
NLD,0
NOR,1
NPL,13
NZL,1
OMN,0
PAK,21
PAN,4
PER,1
PHL,5
PNG,12
POL,0
PRK,1
PRT,0
PRY,2
QAT,0
ROU,0
RUS,0
RWA,19
SAU,0
SDN,35
SEN,25
SGP,0
SLB,10
SLE,90
SLV,2
SOM,99
SRB,0
SSD,50
SUR,1
SVK,0
SVN,0
SWE,1
SWZ,23
SYR,2
TCD,93
TGO,38
THA,2
TJK,8
TKM,6
TLS,10
TTO,0
TUN,1
TUR,1
TZA,28
UGA,30
UKR,0
URY,0
USA,1
UZB,2
VEN,1
VNM,2
YEM,13
ZAF,12
ZMB,25
ZWE,27
