iso;value
AFG;80
AGO;10
ALB;40
AND;40
ARE;80
ARG;20
ARM;80
AUS;40
AUT;0
AZE;80
BDI;0
BEL;40
BEN;0
BFA;0
BGD;0
BGR;10
BHR;80
BIH;0
BLR;10
BLZ;0
BOL;0
BRA;0
BRN;0
BTN;0
BWA;40
CAF;0
CAN;10
CHE;10
CHL;80
CHN;40
CIV;0
CMR;0
COD;0
COG;0
COL;0
CRI;0
CUB;20
CZE;10
DEU;10
DJI;0
DNK;0
DOM;40
DZA;80
ECU;10
EGY;10
ERI;40
ESP;80
EST;40
ETH;0
FIN;10
FRA;20
GAB;0
GBR;20
GEO;20
GHA;0
GIN;0
GMB;0
GNB;0
GNQ;0
GRC;80
GTM;10
GUY;0
HND;10
HRV;0
HTI;40
HUN;0
IDN;40
IND;40
IRL;10
IRN;80
IRQ;80
ISL;0
ISR;80
ITA;40
JOR;80
JPN;20
KAZ;80
KEN;0
KGZ;80
KHM;0
KOR;20
KWT;80
LAO;0
LBN;80
LBR;0
LBY;80
LIE;0
LKA;40
LSO;10
LTU;20
LUX;20
LVA;0
MAR;80
MCO;40
MDA;20
MDG;0
MEX;40
MKD;80
MLI;0
MMR;0
MNE;10
MNG;40
MOZ;0
MRT;10
MWI;0
MYS;10
NAM;40
NER;0
NGA;0
NIC;0
NLD;20
NOR;0
NPL;20
NZL;0
OMN;80
PAK;80
PAN;0
PER;40
PHL;40
PNG;0
POL;20
PRK;10
PRT;40
PRY;0
PSE;80
QAT;80
ROU;10
RUS;10
RWA;0
SAU;80
SDN;10
SEN;0
SGP;80
SLE;0
SLV;10
SMR;80
SOM;10
SRB;0
SSD;0
SUR;0
SVK;10
SVN;0
SWE;10
SWZ;20
SYR;80
TCD;0
TGO;0
THA;10
TJK;40
TKM;80
TLS;40
TUN;80
TUR;80
TWN;10
TZA;10
UGA;0
UKR;40
URY;0
USA;40
UZB;80
VEN;10
VNM;0
XKX;20
YEM;80
ZAF;40
ZMB;0
ZWE;10
