iso,value
SUR,98
FSM,92
SYC,89
GAB,89
PLW,88
ASM,88
GUY,84
LAO,81
SLB,78
PNG,74
FIN,73
BTN,72
BRN,72
GNB,70
MHL,70
VCT,69
SWE,69
JPN,68
MYS,68
COD,67
ZMB,65
COG,65
MNP,64
KOR,63
PAN,62
SVN,62
MNE,61
WSM,60
BLZ,60
BRA,59
PER,58
DMA,58
PRI,56
GNQ,56
STP,56
FJI,56
CRI,54
LVA,54
KHM,54
VEN,53
CYM,53
COL,53
EST,53
TZA,52
BHS,51
BOL,51
ECU,51
VIR,50
IDN,50
GRD,50
RUS,50
MOZ,48
GMB,48
VNM,48
AUT,47
AGO,46
GUM,46
TLS,46
NCL,46
TTO,46
MMR,44
LBR,43
LIE,43
SEN,43
BIH,43
BLR,43
PYF,42
KNA,42
SLE,42
HND,41
DOM,41
GHA,41
GEO,41
SVK,40
CMR,40
MKD,40
PRY,39
NZL,39
BEN,38
CAN,38
ESP,37
ZWE,36
TCA,36
VUT,36
CAF,36
BGR,35
LTU,35
PRT,35
CZE,35
HRV,34
SWZ,34
AND,34
MEX,34
USA,34
LUX,33
MWI,33
TUV,33
LCA,33
NOR,33
GTM,33
LKA,33
DEU,33
CIV,33
THA,32
CHE,32
ITA,32
GRC,31
SRB,31
FRA,31
JAM,31
POL,31
CUB,30
ROU,30
ALB,28
PHL,27
GIN,26
NIC,26
NPL,25
VGB,24
CHL,24
IND,24
SGP,23
HUN,23
BEL,23
CPV,22
ATG,22
CHN,22
MDG,21
MAF,20
BMU,20
COM,20
BFA,20
RWA,19
BWA,19
MUS,19
CYP,19
UKR,17
AUS,16
TUR,15
KIR,15
ERI,15
BRB,15
DNK,14
AZE,14
LBN,13
GBR,13
SLV,13
MAR,13
TON,13
ETH,12
MDA,12
ARM,12
NLD,11
BGD,11
IRL,11
BDI,11
URY,11
UGA,10
SOM,10
ARG,10
TKM,9
NAM,8
SDN,8
MNG,8
KEN,8
NGA,8
ISR,8
ZAF,8
UZB,8
TUN,7
IRN,7
IMN,6
TCD,4
MLI,4
ARE,4
HTI,4
TGO,3
MDV,3
KGZ,3
TJK,3
SYR,3
ABW,2
AFG,2
PAK,2
IRQ,2
LSO,2
PSE,2
KAZ,1
JOR,1
YEM,1
MLT,1
NER,1
DZA,1
BHR,1
ISL,0
SAU,0
KWT,0
DJI,0
MRT,0
LBY,0
EGY,0
FRO,0
OMN,0
GRL,0
GIB,0
MCO,0
NRU,0
QAT,0
SMR,0
