iso,value
LCA,1
NIU,1
VIR,1
MNP,2
MYT,2
DMA,3
JAM,4
CIV,4
COM,4
EST,4
HTI,8
ALB,10
GUF,16
JPN,16
BGD,26
PNG,28
MRT,35
SUR,38
ERI,44
SLV,44
BLZ,50
SLB,56
LKA,66
KOR,76
MAR,80
KGZ,80
GNB,100
GUY,100
UZB,111
TLS,112
PRT,114
GNQ,116
NER,124
COG,154
CAF,156
MDG,160
PAN,164
MWI,180
TGO,198
COL,267
LBR,300
GIN,360
GTM,364
SEN,400
RUS,410
PAK,430
CAN,466
BEN,500
BFA,598
NAM,742
SOM,768
ECU,787
MLI,790
MEX,916
MNG,973
BWA,1022
HND,1200
AGO,1248
TCD,1266
PRK,1270
KHM,1274
UGA,1352
VEN,1644
ZMB,1666
PER,1676
SDN,1744
MOZ,2064
CMR,2200
BOL,2890
ARG,2968
COD,3114
ZWE,3124
PRY,3254
TZA,3720
NGA,4096
MMR,5464
IDN,6844
BRA,9840
