iso,Value
REU,63
GBR,28
ZWE,61
ZMB,23
ZAF,21
YEM,29
WSM,0
VUT,0
VNM,3
VIR,8
VGB,0
VEN,22
VCT,0
UZB,8
USA,11
URY,5
UKR,1
UGA,27
TZA,27
TUR,0
TUN,1
TTO,14
TON,0
TLS,12
TKM,0
TKL,0
TJK,6
THA,53
TGO,75
TCD,50
TCA,0
SYR,0
SYC,14
SWZ,0
SWE,32
SVN,31
SVK,5
SUR,15
STP,0
SSD,0
SRB,0
SOM,0
SLV,0
SLE,70
SLB,3
SGP,0
SEN,6
SDN,9
SAU,10
RWA,15
RUS,7
ROU,21
QAT,0
PYF,0
PSE,0
PRY,14
PRT,28
PRK,0
PRI,7
POL,37
PNG,0
PLW,17
PHL,18
PER,23
PAN,19
PAK,19
OMN,3
NZL,28
NPL,4
NOR,36
NLD,40
NIC,39
NGA,67
NER,40
NCL,54
NAM,56
MYT,0
MYS,4
MWI,60
MUS,0
MTQ,83
MSR,0
MRT,10
MOZ,28
MNP,27
MNG,16
MNE,0
MMR,17
MLT,36
MLI,29
MKD,9
MHL,0
MEX,16
MDV,0
MDG,34
MDA,0
MAR,15
LVA,51
LUX,0
LTU,63
LSO,0
LKA,13
LIE,50
LCA,0
LBY,0
LBR,0
LBN,0
LAO,7
KWT,14
KOR,6
KNA,0
KIR,50
KHM,7
KGZ,0
KEN,11
KAZ,5
JPN,26
JOR,0
JAM,8
ITA,21
ISR,4
ISL,0
IRQ,0
IRN,28
IRL,67
IND,6
IDN,4
HUN,22
HTI,0
HRV,27
HND,14
GUM,50
GUF,33
GTM,15
GRL,17
GRD,25
GRC,41
GNQ,100
GNB,13
GMB,0
GLP,50
GIN,56
GHA,68
GEO,0
GAB,50
FSM,0
FRO,7
FRA,29
FLK,0
FJI,0
FIN,20
ETH,9
EST,45
ESP,8
ERI,13
EGY,32
ECU,10
DZA,27
DOM,40
DNK,75
DMA,0
DJI,0
DEU,33
CZE,45
CYP,18
CYM,20
CUB,29
CRI,4
CPV,0
COM,0
COL,8
COK,0
COG,44
COD,12
CMR,25
CIV,12
CHN,31
CHL,8
CHE,16
CAN,2
CAF,63
BWA,36
BTN,9
BRN,17
BRB,0
BRA,24
BOL,27
BMU,50
BLZ,0
BLR,0
BIH,12
BHS,0
BHR,0
BGR,87
BGD,11
BFA,60
BEN,67
BEL,16
BDI,40
AZE,4
AUT,9
AUS,23
ATG,0
ASM,0
ARM,11
ARG,15
ARE,18
AND,0
ALB,38
AIA,0
AGO,26
AFG,6
ABW,0
