iso,value
UKR,13.9
GEO,13.5
KAZ,13.1
MNE,12.9
CHL,12.8
SRB,12.7
BLR,12.7
PSE,12.5
MKD,12.5
JOR,12.3
BIH,12.3
THA,12.1
KGZ,12.1
LCA,12.1
BRB,12.0
MDA,11.8
ARG,11.6
ARM,11.6
TTO,11.3
ECU,11.2
JAM,11.2
PAN,11.2
MNG,11.2
AZE,11.1
EGY,11.0
PER,10.9
TUN,10.9
DOM,10.9
MEX,10.8
BOL,10.7
ALB,10.6
VNM,10.5
TJK,10.4
PHL,10.4
ZAF,10.3
URY,10.3
IDN,10.3
CRI,10.1
GHA,10.0
MDV,10.0
BRA,9.9
COL,9.8
CHN,9.7
GUY,9.7
KEN,9.7
ZWE,9.6
NAM,9.5
SUR,9.2
GAB,9.1
SWZ,9.0
IND,8.8
COG,8.7
ZMB,8.5
UZB,8.4
SYR,8.3
BLZ,8.2
HND,8.1
HTI,8.1
NIC,8.1
COD,8.0
COM,8.0
TLS,7.9
NPL,7.8
NGA,7.7
LSO,7.7
LAO,7.5
KHM,7.5
CMR,7.5
TGO,7.4
GTM,7.3
UGA,7.2
YEM,7.1
MWI,7.0
DJI,6.9
BGD,6.9
IRQ,6.9
LBR,6.8
GMB,6.7
STP,6.5
MAR,6.4
PAK,6.3
MRT,6.3
TZA,6.2
BTN,6.0
CIV,5.5
BEN,5.4
SLE,5.3
GIN,5.3
SDN,5.2
MOZ,5.2
RWA,5.0
CAF,4.8
SEN,4.8
MDG,4.7
ETH,4.5
BDI,4.3
GNB,4.1
TCD,3.4
MLI,3.2
AFG,3.1
BFA,2.8
SSD,2.3
SOM,1.9
NER,1.9
