iso,value
TUN,4
BHR,6
PHL,6
ARE,6
LBN,7
NPL,7
QAT,7
JAM,8
MWI,8
SDN,8
BRN,9
GNB,9
IRQ,9
MYS,9
MOZ,9
STP,9
YEM,9
CPV,9
JOR,10
KWT,10
SAU,10
HKG,10
AGO,12
BHS,12
BRB,12
BMU,12
BDI,12
DOM,12
ECU,12
FJI,12
GMB,12
GHA,12
GTM,12
HTI,12
HND,12
IND,12
MUS,12
MEX,12
NAM,12
NIC,12
PAK,12
RWA,12
LKA,12
UGA,12
TZA,12
URY,12
ZMB,12
BOL,12
SLV,12
GNQ,12
AFG,13
ATG,13
ARG,13
CHN,13
EGY,13
ETH,13
GRD,13
IDN,13
KEN,13
LAO,13
PER,13
KOR,13
THA,13
TTO,13
DZA,14
BLZ,14
BEN,14
BFA,14
CMR,14
COL,14
COM,14
CIV,14
DJI,14
GAB,14
DEU,14
GIN,14
ISR,14
LBY,14
MDG,14
MLI,14
MLT,14
MRT,14
MAR,14
NZL,14
NER,14
PAN,14
SEN,14
TGO,14
ZWE,14
CHE,14
COG,15
SVN,15
BEL,15
AND,16
AUT,16
BGD,16
FRA,16
LVA,16
LUX,16
NLD,16
POL,16
SGP,16
ESP,16
TKM,16
MCO,16
BRA,17
CRI,17
PRT,17
SYR,17
VNM,17
AZE,18
BLR,18
CHL,18
CUB,18
KAZ,18
KGZ,18
LTU,18
MDA,18
UKR,18
UZB,18
VEN,18
ROU,18
CYP,18
ARM,20
EST,20
RUS,20
TJK,20
LIE,20
SMR,21
ITA,21
IMN,26
ISL,26
IRL,26
BGR,32
BIH,52
HRV,52
NOR,52
SRB,52
GBR,52
ALB,52
SWE,69
